0-1|根本法門經
1-1|{1-5}我聽到這樣：
1-2|{2-3}有一次，{12-2}世尊住在[名叫]高貴[地方]的幸運林，國王的沙羅樹下。
1-3|在那裡，世尊召喚{31-2}比丘們：
1-4|「比丘們！」
1-5|「{480-2}尊師！」那些比丘回答世尊。
1-6|世尊這麼說：
1-7|「比丘們！我將教導你們一切法的根本{562-2}法門，
1-8|你們要聽！你們{43-5}要好好作意！我要說了。」
1-9|「是的，{45-2}大德！」那些比丘回答世尊。
1-10|世尊這麼說：
2-1|「比丘們！這裡，{74-8}未受教導的一般人是不曾見過聖者的，不熟練聖者法的，未受聖者法訓練的；是不曾見過善人的，不熟練{76-3}善人法的，未受善人法訓練的，
2-2|他{l1-5}認知地為地；
2-3|{583-2}認知地為地後，{963-2}思量地、在地中思量、{966-4}從地思量、思量『{l2-4}地是我的』而歡喜地，
2-4|那是什麼原因呢？
2-5|我說：『對他來說，未{154-2}遍知。』
2-6|他認知水為水；
2-7|認知水為水後，思量水、在水中思量、從水思量、思量『水是我的』而歡喜水，
2-8|那是什麼原因呢？
2-9|我說：『對他來說，未遍知。』
2-10|他認知火為火；
2-11|認知火為火後，思量火、在火中思量、從火思量、思量『火是我的』而歡喜火，
2-12|那是什麼原因呢？
2-13|我說：『對他來說，未遍知。』
2-14|他認知風為風；
2-15|認知風為風後，思量風、在風中思量、從風思量、思量『風是我的』而歡喜風，
2-16|那是什麼原因呢？
2-17|我說：『對他來說，未遍知。』
3-1|他認知生命類為生命類；
3-2|認知生命類為生命類後，思量生命類、在生命類中思量、從生命類思量、思量『生命類是我的』而歡喜生命類，
3-3|那是什麼原因呢？
3-4|我說：『對他來說，未遍知。』
3-5|他認知天神為天神；
3-6|認知天神為天神後，思量天神、在天神中思量、從天神思量、思量『天神是我的』而歡喜天神，
3-7|那是什麼原因呢？
3-8|我說：『對他來說，未遍知。』
3-9|他認知生主神為生主神；
3-10|認知生主神為生主神後，思量生主神、在生主神中思量、從生主神思量、思量『生主神是我的』而歡喜生主神，
3-11|那是什麼原因呢？
3-12|我說：『對他來說，未遍知。』
3-13|他認知梵天為梵天；
3-14|認知梵天為梵天後，思量梵天、在梵天中思量、從梵天思量、思量『梵天是我的』而歡喜梵天，
3-15|那是什麼原因呢？
3-16|我說：『對他來說，未遍知。』
3-17|他認知光音天為光音天；
3-18|認知光音天為光音天後，思量光音天、在光音天中思量、從光音天思量、思量『光音天是我的』而歡喜光音天，
3-19|那是什麼原因呢？
3-20|我說：『對他來說，未遍知。』
