一切煩惱經
14-1|{1-5}我聽到這樣：
14-2|{2-3}有一次，{12-2}世尊住在舍衛城祇樹林給孤獨園。
14-3|在那裡，世尊召喚{31-2}比丘們：
14-4|「比丘們！」
14-5|{480-2}尊師！」那些比丘回答世尊。
14-6|世尊這麼說：
14-7|「比丘們！我將教導你們一切{188-2}煩惱的{217-2}自制{562-2}法門，
14-8|你們要聽！你們{43-5}要好好作意！我要說了。」
14-9|「是的，{45-2}大德！」那些比丘回答世尊。
14-10|世尊這麼說：
15-1|「比丘們！我說諸煩惱的滅盡是屬於知者、見者的，非不知者、不見者。
15-2|而，比丘們！我說知什麼者、見什麼者有諸煩惱的滅盡呢？
15-3|{114-4}如理作意與不如理作意。
15-4|比丘們！當不如理作意時，未生起的諸煩惱生起；已生起的諸煩惱增大。
15-5|比丘們！當如理作意時，未生起的諸煩惱不生起；已生起的諸煩惱被捨斷。
16-1|比丘們！{l1-9}有煩惱應該以見捨斷；有煩惱應該{l2-3}以自制捨斷；有煩惱應該{l4-3}以受用捨斷；有煩惱應該{l5-3}以忍受捨斷；有煩惱應該{l3-3}以迴避捨斷；有煩惱應該{l6-3}以除去捨斷；有煩惱應該以{l7-2}修習捨斷。
16-2|應該以見捨斷
17-1|比丘們！什麼是煩惱應該以見捨斷呢？
17-2|比丘們！這裡，{74-8}未受教導的一般人是
17-3|不曾見過聖者的，不熟練聖者法的，未受聖者法訓練的；是不曾見過{76-2}善人的，不熟練善人法的，未受善人法訓練的，
17-4|他不了知應該被作意的法，不了知不應該被作意的法。
17-5|當他不了知應該被作意的法，不了知不應該被作意的法時，他作意那些不應該被作意的法，不作意那些應該被作意的法。
17-6|比丘們！哪些是不應該被作意的法而他作意呢？
17-7|比丘們！[它們是]當作意那些法時，未生起的欲煩惱生起，已生起的欲煩惱增大，
17-8|或者，未生起的有煩惱生起，已生起的有煩惱增大，
17-9|或者，未生起的無明煩惱生起，已生起的無明煩惱增大，
17-10|這些是不應該被作意的法而他作意。
17-11|比丘們！哪些是應該被作意的法而他不作意呢？
17-12|比丘們！[它們是]當作意那些法時，未生起的欲煩惱不生起，已生起的欲煩惱被捨斷，
17-13|或者，未生起的有煩惱不生起，已生起的有煩惱被捨斷，
17-14|或者，未生起的無明煩惱不生起，已生起的無明煩惱被捨斷，
17-15|這些是應該被作意的法而他不作意。
17-16|以不應該被作意的法之作意，以應該被作意的法之不作意而未生起的煩惱生起，已生起的煩惱增大。
18-1|他這樣不如理作意：
18-2|『我過去世存在嗎？
18-3|我過去世不存在嗎？
18-4|我過去世是什麼呢？
18-5|我過去世的情形如何呢？
18-6|我過去世曾經是什麼，[後來]又變成什麼？
18-7|我未來世存在嗎？
18-8|我未來世不存在嗎？
18-9|我未來世會是什麼呢？
18-10|我未來世的情形如何呢？
18-11|我未來世會是什麼，[以後]又變成什麼？』
18-12|或者，他現在內心對現在世有疑惑：
18-13|『我存在嗎？
18-14|我不存在嗎？
18-15|我是什麼？
18-16|我的情形如何？
18-17|這眾生從何而來，
18-18|將往何去？』
19-1|當他這麼不如理作意時，六種見的某個見生起：
19-2|『{l8-5}有我的真我』之見會真實、堅固地生起，
19-3|或者，『沒有我的真我』之見會真實、堅固地生起，
19-4|或者，『我就以真我{583-2}認知真我』之見會真實、堅固地生起，
19-5|或者，『{l9-10}我就以真我認知非真我』之見會真實、堅固地生起，
19-6|或者，『我就以非真我認知真我』之見會真實、堅固地生起，
19-7|抑或有這樣的見：
