法之繼承人經
29-1|{1-5}我聽到這樣：
29-2|{2-3}有一次，{12-2}世尊住在舍衛城祇樹林給孤獨園。
29-3|在那裡，世尊召喚{31-2}比丘們：
29-4|「比丘們！」
29-5|「{480-2}尊師！」那些比丘回答世尊。
29-6|世尊這麼說：
29-7|「比丘們！你們要成為我的{l2-5}法之繼承人，不要成為財物之繼承人。
29-8|我[出於]對你們的憐愍而想：
29-9|『弟子們是否能成為我的法之繼承人，而非財物之繼承人。』
29-10|比丘們！如果你們成為我的財物之繼承人，而非法之繼承人，你們因此會被指責：
29-11|『{145-2}大師的弟子們住於財物之繼承人，而非法之繼承人。』
29-12|我也因此會被指責：
29-13|『大師的弟子們住於財物之繼承人，而非法之繼承人。』
29-14|而，比丘們！如果你們成為我的法之繼承人，而非財物之繼承人，你們因此不會被指責：
29-15|『大師的弟子們住於法之繼承人，而非財物之繼承人。』
29-16|我也因此不會被指責：
29-17|『大師的弟子們住於法之繼承人，而非財物之繼承人。』
29-18|比丘們！因此，你們要成為我的法之繼承人，不要成為財物之繼承人。
29-19|我[出於]對你們的憐愍而想：
29-20|『弟子們是否能成為我的法之繼承人，而非財物之繼承人。』
30-1|比丘們！這裡，如果我是已吃飽、已滿足、已圓滿、已完結、已滿腹、盡我所需者，
30-2|而我的{196-2}施食會成為殘餘法、應該捨棄法。
30-3|那時，如果來了兩位比丘，被飢餓無力折磨，
30-4|我這麼說：
30-5|『比丘們！我是已吃飽、已滿足、已圓滿、已完結、已滿腹、盡我所需者，
30-6|而有我的施食成為殘餘法、應該捨棄法，
30-7|如果你們需要，請你們吃，如果你們不吃，我將丟棄它到少草處，或沈入無蟲的水中。』
30-8|在那裡，一位比丘這麼想：
30-9|『世尊是已吃飽、已滿足、已圓滿、已完結、已滿腹、盡我所需者，
30-10|而有世尊的這施食成為殘餘法、應該捨棄法，
30-11|如果我們不吃，現在世尊將丟棄它到少草處，或沈入無蟲的水中，
30-12|又，此為世尊所說：
30-13|「比丘們！你們要成為我的法之繼承人，不要成為財物之繼承人。」
30-14|而，施食，這是某種財物，
30-15|讓我不吃這施食，以這飢餓無力這麼度過這個日與夜。』
30-16|他不吃那施食，因為那樣，會飢餓無力地這麼度過那個日與夜。
30-17|那時，第二位比丘這麼想：
30-18|『世尊是已吃飽、已滿足、已圓滿、已完結、已滿腹、盡我所需者，
30-19|而有世尊的這施食成為殘餘法、應該捨棄法，
30-20|如果我們不吃，現在世尊將丟棄它到少草處，或沈入無蟲的水中，
