恐怖與害怕經
34-1|{1-5}我聽到這樣：
34-2|{2-3}有一次，{12-2}世尊住在舍衛城祇樹林給孤獨園。
34-3|當時，{980-4}若奴索尼婆羅門去見世尊。
34-4|抵達後，與世尊互相歡迎。
34-5|歡迎與寒暄後，在一旁坐下。
34-6|在一旁坐好後，若奴索尼{17-3}婆羅門對世尊這麼說：
34-7|「{80-3}喬達摩{202-2}先生！凡這些{41-3}善男子跟隨喬達摩{203-2}尊師，由於信，從在家出家，{48-6}成為非家生活者，喬達摩尊師是他們的先導；喬達摩尊師是他們的多所助益者；喬達摩尊師是他們的勸導者；
34-8|那些人對喬達摩先生效法所看到的嗎？」
34-9|「正是這樣，婆羅門！正是這樣，婆羅門！
34-10|婆羅門！凡那些善男子跟隨我，由於信，從在家出家，成為非家生活者，我是他們的先導；
34-11|我是他們的多所助益者；我是他們的勸導者；那些人對我效法所看到的。」
34-12|「喬達摩先生！{142-2}林野、森林、{30-4}邊地住處確實是難做到的，獨居是難做的，獨住是難喜樂的，我想，森林會奪走未得定{31-2}比丘的心。」
34-13|「正是這樣，婆羅門！正是這樣，婆羅門！婆羅門！
34-14|林野、森林、荒地的邊地住處確實是難做到的，獨居是難做的，獨住是難喜樂的，我想，森林會奪走未得定比丘的心。
35-1|婆羅門！當我{185-2}正覺以前，還是未{75-3}現正覺的{186-2}菩薩時，這麼想：
35-2|『林野、森林、荒地的邊地住處確實是難做到的，獨居是難做的，獨住是難喜樂的，我想，森林會奪走未得定比丘的心。』
35-3|婆羅門！我這麼想：
35-4|『凡任何身業未清淨的{29-2}沙門、婆羅門受用林野、森林、荒地的邊地住處者，因為身業未清淨的污穢，那些沙門、婆羅門尊師們確實{l1-10}喚起不善的恐怖與害怕，
35-5|但，我非身業未清淨而受用林野、森林、荒地的邊地住處者，
35-6|我是身業已清淨者，
35-7|凡身業已清淨而受用林野、森林、邊地住處的聖者，我是其中之一。』
35-8|婆羅門！當看見自己身業已清淨的狀態時，我在林野住處中來到更加安心。
36-1|婆羅門！我這麼想：
36-2|『凡任何語業未清淨的沙門、婆羅門……（中略）
36-3|{237-2}意業未清淨……（中略）
36-4|生計未清淨的沙門、婆羅門受用林野、森林、荒地的邊地住處者，因為生計未清淨的污穢，那些沙門、婆羅門尊師們確實喚起不善的恐怖與害怕，
36-5|但，我非生計未清淨而受用林野、森林、荒地的邊地住處者，
36-6|我是生計已清淨者，
36-7|凡生計已清淨而受用林野、森林、邊地住處的聖者，我是其中之一。』
36-8|婆羅門！當看見自己生計已清淨的狀態時，我在林野住處中來到更加安心。
37-1|婆羅門！我這麼想：
37-2|『凡任何{435-2}貪婪的、在欲上重貪欲的沙門、婆羅門受用林野、森林、荒地的邊地住處者，因為貪婪的、在欲上重貪欲的污穢，那些沙門、婆羅門尊師們確實喚起不善的恐怖與害怕，
37-3|但，我非貪婪、在欲上重貪欲而受用林野、森林、荒地的邊地住處者，
37-4|我是無貪婪者，
37-5|凡無貪婪而受用林野、森林、邊地住處的聖者，我是其中之一。』
37-6|婆羅門！當看見自己無貪婪的狀態時，我在林野住處中來到更加安心。
38-1|婆羅門！我這麼想：
38-2|『凡任何有瞋害心的、{875-7}有憎惡之意向的沙門、婆羅門受用林野、森林、荒地的邊地住處者，因為有瞋害心的、有憎惡之意向的污穢，那些沙門、婆羅門尊師們確實喚起不善的恐怖與害怕，
38-3|但，我不是有瞋害心、有憎惡之意向而受用林野、森林、荒地的邊地住處者，
38-4|我是慈心者，
38-5|凡慈心而受用林野、森林、邊地住處的聖者，我是其中之一。』
38-6|婆羅門！當看見自己慈心的狀態時，我在林野住處中來到更加安心。
39-1|婆羅門！我這麼想：
39-2|『凡任何被惛沈睡眠纏縛的沙門、婆羅門受用林野、森林、荒地的邊地住處者，因為被惛沈睡眠纏縛的污穢，那些沙門、婆羅門尊師們確實喚起不善的恐怖與害怕，
39-3|但，我非被惛沈睡眠纏縛而受用林野、森林、荒地的邊地住處者，
39-4|我是已離惛沈睡眠者，
39-5|凡已離惛沈睡眠而受用林野、森林、邊地住處的聖者，我是其中之一。』
39-6|婆羅門！當看見自己已離惛沈睡眠的狀態時，我在林野住處中來到更加安心。
40-1|婆羅門！我這麼想：
40-2|『凡任何掉舉、心不寂靜的沙門、婆羅門受用林野、森林、荒地的邊地住處者，因為掉舉、心不寂靜的污穢，那些沙門、婆羅門尊師們確實喚起不善的恐怖與害怕，
40-3|但，我非掉舉、心不寂靜而受用林野、森林、荒地的邊地住處者，
40-4|我是心寂靜者，
40-5|凡心寂靜而受用林野、森林、邊地住處的聖者，我是其中之一。』
40-6|婆羅門！當看見自己心寂靜的狀態時，我在林野住處中來到更加安心。
41-1|婆羅門！我這麼想：
41-2|『凡任何困惑、疑惑的沙門、婆羅門受用林野、森林、荒地的邊地住處者，因為困惑、疑惑的污穢，那些沙門、婆羅門尊師們確實喚起不善的恐怖與害怕，
41-3|但，我非困惑、疑惑而受用林野、森林、荒地的邊地住處者，
41-4|我是已脫出疑惑者，
41-5|凡已脫出疑惑而受用林野、森林、邊地住處的聖者，我是其中之一。』
41-6|婆羅門！當看見自己已脫出疑惑的狀態時，我在林野住處中來到更加安心。
42-1|婆羅門！我這麼想：
42-2|『凡任何讚賞自己、輕蔑他人的沙門、婆羅門受用林野、森林、荒地的邊地住處者，因為讚賞自己、輕蔑他人的污穢，那些沙門、婆羅門尊師們確實喚起不善的恐怖與害怕，
42-3|但，我非讚賞自己、輕蔑他人而受用林野、森林、荒地的邊地住處者，
42-4|我是非讚賞自己、輕蔑他人者，
42-5|凡非讚賞自己、輕蔑他人而受用林野、森林、邊地住處的聖者，我是其中之一。』
42-6|婆羅門！當看見自己非讚賞自己、輕蔑他人的狀態時，我在林野住處中來到更加安心。
43-1|婆羅門！我這麼想：
43-2|『凡任何僵硬、恐懼之類的沙門、婆羅門受用林野、森林、荒地的邊地住處者，因為僵硬、恐懼之類的污穢，那些沙門、婆羅門尊師們確實喚起不善的恐怖與害怕，
43-3|但，我非僵硬、恐懼之類而受用林野、森林、荒地的邊地住處者，
43-4|我是已離{152-4}身毛豎立者，
43-5|凡已離身毛豎立而受用林野、森林、邊地住處的聖者，我是其中之一。』
43-6|婆羅門！當看見自己已離身毛豎立的狀態時，我在林野住處中來到更加安心。
44-1|婆羅門！我這麼想：
44-2|『凡任何欲求利養、恭敬、名稱的沙門、婆羅門受用林野、森林、荒地的邊地住處者，因為欲求利養、恭敬、名稱的污穢，那些沙門、婆羅門尊師們確實喚起不善的恐怖與害怕，
44-3|但，我非欲求利養、恭敬、名稱而受用林野、森林、荒地的邊地住處者，
44-4|我是少欲者，
44-5|凡少欲而受用林野、森林、邊地住處的聖者，我是其中之一。』
44-6|婆羅門！當看見自己少欲的狀態時，我在林野住處中來到更加安心。
45-1|婆羅門！我這麼想：
45-2|『凡任何懈怠、缺乏活力的沙門、婆羅門受用林野、森林、荒地的邊地住處者，因為懈怠、缺乏活力的污穢，那些沙門、婆羅門尊師們確實喚起不善的恐怖與害怕，
45-3|但，我非懈怠、缺乏活力而受用林野、森林、荒地的邊地住處者，
45-4|我是活力已被發動者，
45-5|凡活力已被發動而受用林野、森林、邊地住處的聖者，我是其中之一。』
45-6|婆羅門！當看見自己活力已被發動的狀態時，我在林野住處中來到更加安心。
46-1|婆羅門！我這麼想：
46-2|『凡任何{216-4}念已忘失、不正知的沙門、婆羅門受用林野、森林、荒地的邊地住處者，因為念已忘失、不正知的污穢，那些沙門、婆羅門尊師們確實喚起不善的恐怖與害怕，
46-3|但，我非念已忘失、不正知而受用林野、森林、荒地的邊地住處者，
46-4|我是{341-4}念已現前者，
46-5|凡念已現前而受用林野、森林、邊地住處的聖者，我是其中之一。』
46-6|婆羅門！當看見自己念已現前的狀態時，我在林野住處中來到更加安心。
47-1|婆羅門！我這麼想：
47-2|『凡任何不得定、心散亂的沙門、婆羅門受用林野、森林、荒地的邊地住處者，因為不得定、心散亂的污穢，那些沙門、婆羅門尊師們確實喚起不善的恐怖與害怕，
47-3|但，我非不得定、心散亂而受用林野、森林、荒地的邊地住處者，
47-4|我是定具足者，
47-5|凡定具足而受用林野、森林、邊地住處的聖者，我是其中之一。』
47-6|婆羅門！當看見自己定圓滿具足時，我在林野住處中來到更加安心。
48-1|婆羅門！我這麼想：
