衣服經
70-1|{1-5}我聽到這樣：
70-2|{2-3}有一次，{12-2}世尊住在舍衛城祇樹林給孤獨園。
70-3|在那裡，世尊召喚{31-2}比丘們：
70-4|「比丘們！」
70-5|「{480-2}尊師！」那些比丘回答世尊。
70-6|世尊這麼說：
70-7|「比丘們！猶如被污染、沾垢的衣服，
70-8|如果染工將它浸入某些染色中，
70-9|不論藍色類、黃色類、鮮紅色類、深紅色類，都成為難染的容色、不純淨的容色，
70-10|那是什麼原因呢？
70-11|比丘們！[因為]衣服的不清淨狀態。
70-12|同樣的，比丘們！當心被污染時，{110-2}惡趣應該可以被預期。
70-13|比丘們！猶如清淨、皎潔的衣服，
70-14|如果染工將它浸入某些染色中，
70-15|不論藍色類、黃色類、鮮紅色類、深紅色類，
70-16|都成為易染的容色、純淨的容色，
70-17|那是什麼原因呢？
70-18|比丘們！[因為]衣服的清淨狀態。
70-19|同樣的，比丘們！當心不被污染時，{112-2}善趣應該可以被預期。
71-1|比丘們！什麼是心的{288-3}隨雜染呢？
71-2|{435-2}貪婪、{957-3}不正貪是心的隨雜染；惡意是心的隨雜染；憤怒是心的隨雜染；怨恨是心的隨雜染；{999-2}藏惡是心的隨雜染；專橫是心的隨雜染；嫉妒是心的隨雜染；慳吝是心的隨雜染；偽詐是心的隨雜染；狡猾是心的隨雜染；頑固是心的隨雜染；激情是心的隨雜染；慢是心的隨雜染；{422-2}極慢是心的隨雜染；憍慢是心的隨雜染；放逸是心的隨雜染。
72-1|比丘們！比丘像這樣知道：『貪婪、不正貪是心的隨雜染。』後，
72-2|他捨斷心隨雜染的貪婪、不正貪；
72-3|像這樣知道：『惡意是心的隨雜染。』後，
72-4|他捨斷心隨雜染的惡意；
72-5|像這樣知道：『憤怒是心的隨雜染。』後，
72-6|他捨斷心隨雜染的憤怒；
72-7|像這樣知道：『怨恨是心的隨雜染。』後，
72-8|他捨斷心隨雜染的怨恨；
72-9|像這樣知道：『藏惡是心的隨雜染。』後，
72-10|他捨斷心隨雜染的藏惡；
72-11|像這樣知道：『專橫是心的隨雜染。』後，
72-12|他捨斷心隨雜染的專橫；
72-13|像這樣知道：『嫉妒是心的隨雜染。』後，
72-14|他捨斷心隨雜染的嫉妒；
72-15|像這樣知道：『慳吝是心的隨雜染。』後，
72-16|他捨斷心隨雜染的慳吝；
72-17|像這樣知道：『偽詐是心的隨雜染。』後，
72-18|他捨斷心隨雜染的偽詐；
72-19|像這樣知道：『狡猾是心的隨雜染。』後，
72-20|他捨斷心隨雜染的狡猾；
72-21|像這樣知道：『頑固是心的隨雜染。』後，
72-22|他捨斷心隨雜染的頑固；
72-23|像這樣知道：『激情是心的隨雜染。』後，
72-24|他捨斷心隨雜染的激情；
72-25|像這樣知道：『慢是心的隨雜染。』後，
72-26|他捨斷心隨雜染的慢；
72-27|像這樣知道：『極慢是心的隨雜染。』後，
72-28|他捨斷心隨雜染的極慢；
72-29|像這樣知道：『憍慢是心的隨雜染。』後，
72-30|他捨斷心隨雜染的憍慢；
72-31|像這樣知道：『放逸是心的隨雜染。』後，
72-32|他捨斷心隨雜染的放逸。
73-1|比丘們！當比丘像這樣知道：『貪婪、不正貪是心的隨雜染。』後，
73-2|已捨斷心隨雜染的貪婪、不正貪；像這樣知道：『惡意是心的隨雜染。』後，
73-3|已捨斷心隨雜染的惡意；
73-4|像這樣知道：『憤怒是心的隨雜染。』後，
73-5|已捨斷心隨雜染的憤怒；
73-6|像這樣知道：『怨恨是心的隨雜染。』後，
73-7|已捨斷心隨雜染的怨恨；
73-8|像這樣知道：『藏惡是心的隨雜染。』後，
73-9|已捨斷心隨雜染的藏惡；
73-10|像這樣知道：『專橫是心的隨雜染。』後，
73-11|已捨斷心隨雜染的專橫；
73-12|像這樣知道：『嫉妒是心的隨雜染。』後，
73-13|已捨斷心隨雜染的嫉妒；
73-14|像這樣知道：『慳吝是心的隨雜染。』後，
73-15|已捨斷心隨雜染的慳吝；
73-16|像這樣知道：『偽詐是心的隨雜染。』後，
73-17|已捨斷心隨雜染的偽詐；
73-18|像這樣知道：『狡猾是心的隨雜染。』後，
73-19|已捨斷心隨雜染的狡猾；
73-20|像這樣知道：『頑固是心的隨雜染。』後，
73-21|已捨斷心隨雜染的頑固；
73-22|像這樣知道：『激情是心的隨雜染。』後，
73-23|已捨斷心隨雜染的激情；
73-24|像這樣知道：『慢是心的隨雜染。』後，
73-25|已捨斷心隨雜染的慢；
73-26|像這樣知道：『極慢是心的隨雜染。』後，
73-27|已捨斷心隨雜染的極慢；
73-28|像這樣知道：『憍慢是心的隨雜染。』後，
73-29|已捨斷心隨雜染的憍慢；
73-30|像這樣知道：『放逸是心的隨雜染。』後，
73-31|已捨斷心隨雜染的放逸，
74-1|他對佛陀具備{233-3}不壞淨：
74-2|『像這樣，那位世尊是{5-3}阿羅漢、{6-4}遍正覺者、{7-6}明與行具足者、{8-2}善逝、{9-4}世間知者、{10-12}應該被調御人的無上調御者、{11-4}人天之師、{3-2}佛陀、世尊。』
74-3|對法具備不壞淨：
74-4|『法是被世尊善說的、直接可見的、即時的、請你來見的、能引導的、智者應該自己經驗的。』
74-5|對{375-2}僧團具備不壞淨：
74-6|『世尊的弟子僧團是{518-5}依善而行者，世尊的弟子僧團是依正直而行者，世尊的弟子僧團是依真理而行者，世尊的弟子僧團是{764-5}如法而行者，即：{347-9}四雙之人、八輩之士，
74-7|這世尊的弟子僧團應該被奉獻、應該被供奉、應該被供養、應該被{377-2}合掌，為世間的無上{101-2}福田。』
75-1|當{l5-10}如其範圍[的隨雜染]已被捨棄、已被吐出、已被釋放、已被捨斷、已被{211-2}斷念時，他[想]：『我對佛陀具備不壞淨。』而{474-5}得義的信受、{475-5}得法的信受、得伴隨法的欣悅。
75-2|當歡悅時，則喜被生；當{320-2}意喜時，則{318-5}身變得寧靜；身已寧靜者，則感受樂；心樂者，則入定。對法……（中略）
75-3|他[想]：『我對僧團具備不壞淨。』而得義的信受、得法的信受、得伴隨法的欣悅。
75-4|當歡悅時，則喜被生；當意喜時，則身變得寧靜；
75-5|身已寧靜者，則感受樂；心樂者，則入定。
75-6|他[想]：『如其範圍[的隨雜染]已被我捨棄、吐出、釋放、捨斷、斷念。』而得義的信受、得法的信受、得伴隨法的欣悅。
75-7|當歡悅時，則喜被生；當意喜時，則身變得寧靜；身已寧靜者，則感受樂；心樂者，則入定。
