削減經
81-1|{1-5}我聽到這樣：
81-2|{2-3}有一次，{12-2}世尊住在舍衛城祇樹林給孤獨園。
81-3|那時，{200-2}尊者大純陀在傍晚時，從{92-2}獨坐中出來，去見世尊。
81-4|抵達後，向世尊{46-2}問訊，接著在一旁坐下。
81-5|在一旁坐好後，尊者大純陀對世尊這麼說：
81-6|「{45-2}大德！這種種見在世間中生起：
81-7|{l5-6}與我論有關的，或與{l6-6}世界論有關的，大德！{l7-4}只初作意的{31-2}比丘有這樣見的捨斷嗎？有這樣見的{211-2}斷念嗎？」
82-1|「純陀！這種種見在世間中生起：
82-2|與我論有關的，或與世界論有關的，
82-3|如果在那些見生起之處、{253-2}潛伏之處、{l8-4}執行之處以正確之慧這樣如實見：『{32-5}這不是我的，{33-5}我不是這個，{34-7}這不是我的真我。』
82-4|這樣，有這些見的捨斷；這樣，有這些見的斷念。
82-5|純陀！這是可能的：這裡，如果某些比丘從離欲、離不善法後，{66-5}進入後住於有尋、{175-2}有伺，{174-6}離而生喜、樂的初禪，
82-6|他這麼想：
82-7|『我正住於{813-2}削減。』
82-8|但，純陀！這些在聖者之律中不被稱為削減，
82-9|這些在聖者之律中被稱為在當生中的樂住處。
82-10|純陀！這是可能的：這裡，如果某些比丘以尋與伺的平息，{256-2}自信，{255-2}一心，進入後住於無尋、無伺，定而生喜、樂的第二禪，
82-11|他這麼想：
82-12|『我正住於削減。』
82-13|但，純陀！這些在聖者之律中不被稱為削減，
82-14|這些在聖者之律中被稱為在當生中的樂住處。
82-15|純陀！這是可能的：這裡，如果某些比丘以喜的{77-2}褪去與住於平靜，有念、正知，以身體感受樂，進入後住於這聖弟子宣說：
82-16|『他是平靜、具念、{317-4}住於樂者』的第三禪，
82-17|他這麼想：
82-18|『我正住於削減。』
82-19|但，純陀！這些在聖者之律中不被稱為削減，
82-20|這些在聖者之律中被稱為在當生中的樂住處。
82-21|純陀！這是可能的：這裡，如果某些比丘以樂的捨斷與苦的捨斷，及以之前喜悅與憂的滅沒，進入後住於不苦不樂，{494-7}由平靜而念遍淨的第四禪，
82-22|他這麼想：
82-23|『我正住於削減。』
82-24|但，純陀！這些在聖者之律中不被稱為削減，
82-25|這些在聖者之律中被稱為在當生中的樂住處。
82-26|純陀！這是可能的：這裡，如果某些比丘{490-8}以一切色想的超越，以{331-3}有對想的滅沒，以不作意種種想[而知]：『虛空是無邊的』，進入後住於虛空無邊處，
82-27|他這麼想：
82-28|『我正住於削減。』
82-29|但，純陀！這些在聖者之律中不被稱為削減，
82-30|這些在聖者之律中被稱為寂靜住處。
82-31|純陀！這是可能的：這裡，如果某些比丘以一切虛空無邊處的超越[而知]：『識是無邊的』，進入後住於識無邊處，
82-32|他這麼想：
82-33|『我正住於削減。』
82-34|但，純陀！這些在聖者之律中不被稱為削減，
82-35|這些在聖者之律中被稱為寂靜住處。
82-36|純陀！這是可能的：這裡，如果某些比丘以一切識無邊處的超越[而知]：『什麼都沒有』，進入後住於{533-4}無所有處，
82-37|他這麼想：
82-38|『我正住於削減。』
82-39|但，純陀！這些在聖者之律中不被稱為削減，
82-40|這些在聖者之律中被稱為寂靜住處。
82-41|純陀！這是可能的：這裡，如果某些比丘以一切無所有處的超越，進入後住於{534-6}非想非非想處，
82-42|他這麼想：
82-43|『我正住於削減。』
82-44|但，純陀！這些在聖者之律中不被稱為削減，
82-45|這些在聖者之律中被稱為寂靜住處。
83-1|又，純陀！這裡，削減應該被你們[這樣]做：
83-2|『其他[眾生]將是傷害者，在這裡，我們將是不傷害者。』削減應該被[這樣]做。
83-3|『其他[眾生]將是殺生者，在這裡，我們將是離殺生者。』削減應該被[這樣]做。
83-4|『其他[眾生]將是{104-5}未給予而取者，在這裡，我們將是離未給予而取者。』削減應該被[這樣]做。
83-5|『其他[眾生]將是非{381-2}梵行者，在這裡，我們將是離非梵行者。』削減應該被[這樣]做。
83-6|『其他[眾生]將是{106-2}妄語者，在這裡，我們將是離妄語者。』削減應該被[這樣]做。
83-7|『其他[眾生]將是{234-3}離間語者，在這裡，我們將是離離間語者。』削減應該被[這樣]做。
83-8|『其他[眾生]將是{235-3}粗惡語者，在這裡，我們將是離{235-3}粗惡語者。』削減應該被[這樣]做。
83-9|『其他[眾生]將是{236-3}雜穢語者，在這裡，我們將是離雜穢語者。』削減應該被[這樣]做。
83-10|『其他[眾生]將是{435-3}貪婪者，在這裡，我們將是不貪婪者。』削減應該被[這樣]做。
83-11|『其他[眾生]將是有瞋害心者，在這裡，我們將是無瞋害心者。』削減應該被[這樣]做。
83-12|『其他[眾生]將是邪見者，在這裡，我們將是正見者。』削減應該被[這樣]做。
83-13|『其他[眾生]將是邪志者，在這裡，我們將是正志者。』削減應該被[這樣]做。
83-14|『其他[眾生]將是邪語者，在這裡，我們將是正語者。』削減應該被[這樣]做。
83-15|『其他[眾生]將是邪業者，在這裡，我們將是正業者。』削減應該被[這樣]做。
83-16|『其他[眾生]將是邪命者，在這裡，我們將是正命者。』削減應該被[這樣]做。
83-17|『其他[眾生]將是邪精進者，在這裡，我們將是正精進者。』削減應該被[這樣]做。
