正見經
89-1|{1-5}我聽到這樣：
89-2|{2-3}有一次，{12-2}世尊住在舍衛城祇樹林給孤獨園。
89-3|在那裡，{200-2}尊者舍利弗召喚{31-2}比丘們：
89-4|「比丘學友們！」
89-5|「{201-2}學友！」那些比丘回答尊者舍利弗。
89-6|尊者舍利弗這麼說：
89-7|「學友們！被稱為『正見、正見』，
89-8|學友們！什麼情形是{24-3}聖弟子的正見、直見、對法具備{233-3}不壞淨、通達此正法呢？」
89-9|「學友！我們會從遠處來到尊者舍利弗面前想知道這所說的義理，
89-10|如果尊者舍利弗能說明這所說的義理，那就好了！
89-11|聽聞尊者舍利弗的[教說]後，比丘們將會憶持的。」
89-12|「那樣的話，學友們！你們要聽！你們要{43-4}好好作意！我要說了。」
89-13|「是的，學友！」那些比丘回答尊者舍利弗。
89-14|尊者舍利弗這麼說：
89-15|「學友們！當聖弟子了知不善，了知不善根；了知善，了知善根，
89-16|學友們！這個情形是聖弟子的正見、直見、對法具備不壞淨、通達此正法。
89-17|而，學友們！什麼是不善？什麼是不善根？什麼是善？什麼是善根？
89-18|學友們！殺生是不善，{104-5}未給予而取是不善，{105-2}邪淫是不善，{106-2}妄語是不善，{234-3}離間語是不善，{235-3}粗惡語是不善，{236-3}雜穢語是不善，{435-2}貪婪是不善，惡意是不善，邪見是不善，
89-19|學友們！這些被稱為不善。
89-20|而，學友們！什麼是不善根？
89-21|貪欲是不善根，瞋恚是不善根，愚癡是不善根，
89-22|學友們！這些被稱為不善根。
89-23|而，學友們！什麼是善？
89-24|戒絕殺生是善，戒絕未給予而取是善，戒絕邪淫是善，戒絕妄語是善，戒絕離間語是善，戒絕粗惡語是善，戒絕雜穢語是善，不貪婪是善，無惡意是善，正見是善，
89-25|學友們！這些被稱為善。
89-26|而，學友們！什麼是善根？
89-27|無貪欲是善根，無瞋恚是善根，無愚癡是善根，
89-28|學友們！這些被稱為善根。
89-29|學友們！當聖弟子這樣了知不善，這樣了知不善根，這樣了知善，這樣了知善根，他捨斷一切{452-7}貪煩惱潛在趨勢，去除{453-8}嫌惡煩惱潛在趨勢，根絕『{894-2}我是』的{26-9}見與慢煩惱潛在趨勢，捨斷無明；生起明，然後當生{54-6}得到苦的結束，
89-30|學友們！這個情形是聖弟子的正見、直見、對法具備不壞淨、通達此正法。」
90-1|「好！學友！」那些比丘歡喜、{85-2}隨喜尊者舍利弗所說後，更進一步問尊者舍利弗問題：
90-2|「除此而外，學友！會有聖弟子的正見、直見、對法具備不壞淨、通達此正法的其它法門嗎？」
90-3|「會有的，學友們！
90-4|學友們！當聖弟子了知食，了知食{67-1}集，了知食{68-1}滅，了知導向食{69-3}滅道跡，學友們！
90-5|這個情形是聖弟子的正見、直見、對法具備不壞淨、通達此正法。
90-6|而，學友們！什麼是食？什麼是食集？什麼是食滅？什麼是導向食滅道跡？
90-7|學友們！有這四種食，為了已生成眾生的存續，或為了{711-4}求出生者的資助。
90-8|哪四種呢？
90-9|{387-9}或粗或細的物質食物，第二、{388-1}觸，第三、{389-2}意思，第四、{390-1}識。
90-10|學友們！這四種食，支撐已生成的眾生，也資助求出生者。以渴愛而食集，以渴愛滅而食滅，導向食滅道跡就是這{525-4}八支聖道，
90-11|即：正見、正志、正語、正業、正命、正精進、正念、正定。
90-12|學友們！當聖弟子這樣了知食，這樣了知食集，這樣了知食滅，這樣了知導向食滅道跡，他捨斷一切貪煩惱潛在趨勢，去除嫌惡煩惱潛在趨勢，根絕『我是』的見與慢煩惱潛在趨勢，捨斷無明；生起明，然後當生得到苦的結束，
90-13|學友們！這個情形是聖弟子的正見、直見、對法具備不壞淨、通達此正法。」
91-1|「好！學友！」那些比丘歡喜、隨喜尊者舍利弗所說後，更進一步問尊者舍利弗問題：
91-2|「除此而外，學友！會有聖弟子的正見、直見、對法具備不壞淨、通達此正法的其它法門嗎？」
91-3|「會有的，學友們！
91-4|學友們！當聖弟子了知苦，了知苦集，了知苦滅，了知導向苦滅道跡，
91-5|學友們！這個情形是聖弟子的正見、直見、對法具備不壞淨、通達此正法。
91-6|而，學友們！什麼是苦？什麼是苦集？什麼是苦滅？什麼是導向苦滅道跡？
91-7|生是苦，老是苦，病是苦，死是苦，愁、悲、苦、憂、{342-2}絕望是苦，與不愛的結合是苦，與所愛的別離是苦，所求不得是苦；總括之，{36-3}五取蘊是苦，
91-8|學友們！這被稱為苦。
91-9|而，學友們！什麼是苦集？
91-10|是這導致再生、伴隨歡喜與貪、{96-7}到處歡喜的渴愛，即：欲的渴愛、有的渴愛、{244-5}虛無的渴愛，
91-11|學友們！這被稱為苦集。
91-12|而，學友們！什麼是苦滅？
91-13|就是那渴愛的{491-6}無餘褪去與滅、捨棄、{211-2}斷念、解脫、{391-3}無依住，
