獅子吼小經
139-1|{1-5}我聽到這樣：{2-3}有一次，{12-2}世尊住在舍衛城祇樹林給孤獨園。
139-2|在那裡，世尊召喚{31-2}比丘們：「比丘們！」
139-3|「{480-2}尊師！」那些比丘回答世尊。
139-4|世尊這麼說：
139-5|「比丘們！『就在這裡，有[第一]沙門；在這裡，有第二沙門；在這裡，有第三沙門；在這裡，有第四沙門，
139-6|{l1-5}其它議論者空無另外的沙門。』
139-7|比丘們！你們應該這樣正確地作獅子吼。
140-1|比丘們！這是可能的：{79-7}其他外道遊行者會這麼說：『但，{200-2}尊者們！依{l2-4}什麼自信，依什麼力量你們尊者能這麼說：「就在這裡，有[第一]沙門；在這裡，有第二沙門；在這裡，有第三沙門；在這裡，有第四沙門，
140-2|其它議論者空無另外的沙門。」呢？』
140-3|比丘們！當其他外道遊行者這麼說時，應該能這樣回答：『{201-2}道友們！對我們來說，有四法被那位有知、有見的世尊、阿羅漢、{383-4}遍正覺者所說，而當我們自己看見時，我們這麼說：「就在這裡，有[第一]沙門；在這裡，有第二沙門；在這裡，有第三沙門；在這裡，有第四沙門，
140-4|其它議論者空無另外的沙門。」
140-5|哪四個呢？
140-6|道友們！對我們來說，有對{145-2}大師的{507-2}淨信，有對法的淨信，有在戒上的完成，
140-7|有如法的、可愛的、合意的在家者們與出家者們，
140-8|道友們！這四法被那位有知、有見的世尊、阿羅漢、遍正覺者所說，而當我們自己看見時，我們這麼說：「就在這裡，有[第一]沙門；在這裡，有第二沙門；在這裡，有第三沙門；在這裡，有第四沙門，
140-9|其它議論者空無另外的沙門。」』
141-1|比丘們！這是可能的：其他外道遊行者會這麼說：『我們也有對大師的淨信：我們的大師，我們也有對法的淨信：我們的法，我們也有在戒上的完成：我們的戒，我們也有如法的、可愛的、合意的在家者們與出家者們，
141-2|道友們！這裡，你們與我們有什麼高下，有什麼不同，有什麼差別呢？』
