苦蘊大經
163-1|{1-5}我聽到這樣：
163-2|{2-3}有一次，{12-2}世尊住在舍衛城祇樹林給孤獨園。
163-3|那時，眾多{31-2}比丘在午前時穿好衣服後，取衣鉢，{87-4}為了托鉢進入舍衛城。
163-4|那時，那些比丘這麼想：
163-5|「在舍衛城為了托鉢而行還太早，讓我們前往{79-7}其他外道遊行者們的園林。」
163-6|那時，那些比丘前往其他外道遊行者們的園林。
163-7|抵達後，與那些其他外道遊行者相互歡迎。
163-8|歡迎與寒暄後，在一旁坐下。
163-9|在一旁坐好後，那些其他外道遊行者對那些比丘這麼說：
163-10|「{201-2}道友們！沙門{80-3}喬達摩宣說欲的{l1-2}遍知，我們也宣說欲的遍知；
163-11|道友們！沙門喬達摩宣說色的遍知，我們也宣說色的遍知；
163-12|道友們！沙門喬達摩宣說受的遍知，我們也宣說受的遍知，
163-13|道友們！這裡，沙門喬達摩與我們，有什麼高下，有什麼不同，有什麼差別呢？
163-14|即：在說法與說法上，在教示與教示上。」
163-15|那時，那些比丘們對那些其他外道遊行者的所說，既不歡喜，也沒苛責。
163-16|不歡喜，沒苛責後，站起來離開[，心想]：
163-17|「我們在世尊面前必能了知這所說的義理。」
164-1|那時，那些比丘在舍衛城為了托鉢而行後，食畢，{512-6}從施食處返回，去見世尊。
164-2|抵達後，向世尊問訊，接著在一旁坐下。
164-3|在一旁坐好後，那些比丘對世尊這麼說：
164-4|「{45-2}大德！這裡，我們在午前時穿好衣服後，取衣鉢，為了托鉢進入舍衛城。
164-5|大德！我們這麼想：
164-6|『在舍衛城為了托鉢而行還太早，讓我們前往其他外道遊行者們的園林。』
164-7|大德！那時，我們前往其他外道遊行者們的園林。
164-8|抵達後，與那些其他外道遊行者相互歡迎。
164-9|歡迎與寒暄後，在一旁坐下。
164-10|大德！在一旁坐好後，那些其他外道遊行者對我們這麼說：
164-11|『道友們！沙門喬達摩宣說欲的遍知，我們也宣說欲的遍知；
164-12|道友們！沙門喬達摩宣說色的遍知，我們也宣說色的遍知；
164-13|道友們！沙門喬達摩宣說受的遍知，我們也宣說受的遍知，
164-14|道友們！這裡，沙門喬達摩與我們，有什麼高下，有什麼不同，有什麼差別呢？即：在說法與說法上，在教示與教示上。』
164-15|大德！那時，我們對那些其他外道遊行者的所說，既不歡喜，也沒苛責。
164-16|不歡喜，沒苛責後，站起來離開[，心想]：
164-17|『我們在世尊面前必能了知這所說的義理。』」
165-1|「比丘們！當其他外道遊行者們這麼說時，應該被這麼回答：
165-2|『但，道友們！對欲來說什麼是{295-2}樂味？什麼是{293-2}過患？什麼是{294-2}出離？
165-3|對色來說，什麼是樂味？什麼是過患？什麼是出離？
165-4|對受來說，什麼是樂味？什麼是過患？什麼是出離？』
165-5|比丘們！當被這麼問時，其他外道遊行者必不能解答，且更會遭到惱害，
165-6|那是什麼原因呢？
165-7|比丘們！正如那{783-10}不在[感官的]境域中。
165-8|比丘們！我不見在這包括天、魔、梵的世間；包括沙門、婆羅門、天、人的{38-2}世代中，除了如來或如來的弟子或從他們聽聞以外，對這些問題能以解答使心滿意者。
166-1|比丘們！什麼是欲的樂味？
166-2|比丘們！有這{187-3}五種欲，
166-3|哪五種呢？
