二種尋經
206-1|{1-5}我聽到這樣：
206-2|{2-3}有一次，{12-2}世尊住在舍衛城祇樹林給孤獨園。
206-3|在那裡，世尊召喚{31-2}比丘們：
206-4|「比丘們！」
206-5|「{480-2}尊師！」那些比丘回答世尊。
206-6|世尊這麼說：
206-7|「比丘們！當我{185-2}正覺以前，還是未{75-3}現正覺的{186-2}菩薩時，這麼想：
206-8|『讓我住於分[我的]{l1-2}諸尋成二種。』
206-9|比丘們！我分欲尋、惡意尋、{376-3}加害尋
206-10|為一部分，
206-11|{l2-3}離欲尋、無惡意尋、無加害尋
206-12|為第二部分。
207-1|比丘們！當我這樣住於不放逸、熱心、自我努力時，欲尋生起，
207-2|我這麼了知它：
207-3|『我的這欲尋已生起，
207-4|它導向自己的惱害，導向他人的惱害，導向兩者的惱害，是{998-4}慧的滅者，惱害的伴黨，非涅槃的導向者。』
207-5|比丘們！當我深慮：『它導向自己的惱害。』時，它滅沒；
207-6|比丘們！當我深慮：『它導向他人的惱害。』時，它滅沒；
207-7|比丘們！當我深慮：『它導向兩者的惱害。』時，它滅沒；
207-8|比丘們！當我深慮：『它是慧的滅者，惱害的伴黨，非涅槃的導向者。』時，它滅沒，
207-9|比丘們！每當欲尋已生起時，我就捨斷它、除去它、使它作終結。
208-1|比丘們！當我這樣住於不放逸、熱心、自我努力時，惡意尋生起，……（中略）
208-2|加害尋生起，
208-3|我這麼了知它：
208-4|『我的這加害尋已生起，
208-5|它導向自己的惱害，導向他人的惱害，導向兩者的惱害，是慧的滅者，惱害的伴黨，非涅槃的導向者。』
208-6|比丘們！當我深慮：『它導向自己的惱害。』時，它滅沒；
208-7|比丘們！當我深慮：『它導向他人的惱害。』時，它滅沒；
208-8|比丘們！當我深慮：『它導向兩者的惱害。』時，它滅沒；
208-9|比丘們！當我深慮：『它是慧的滅者，惱害的伴黨，非涅槃的導向者。』時，它滅沒，
208-10|比丘們！每當加害尋已生起時，我就捨斷它、除去它、使它作終結。
208-11|比丘們！凡比丘多隨尋思、多{743-3}隨伺察，像這樣成為心的傾向。
208-12|比丘們！如果比丘多隨尋思、多隨伺察欲尋，他捨斷了離欲尋，多作了欲尋，則他的那個心傾向於欲尋；
208-13|比丘們！如果比丘多隨尋思、多隨伺察惡意尋，……（中略）
208-14|比丘們！如果比丘多隨尋思、多隨伺察加害尋，他捨斷了無加害尋，多作了加害尋，則他的那個心傾向於加害尋。
208-15|比丘們！猶如在雨季最後一個月的秋天時，當穀物繁多時，牧牛者會守護牛，
208-16|他會以棒杖驅趕、使之避開、制止、防止那些牛，
208-17|那是什麼原因呢？
208-18|比丘們！因為那位牧牛者看見由此因緣而有處罰，或捕縛，或沒收，或呵責。
208-19|同樣的，比丘們！我看見惡不善法的{293-2}過患、卑下、污染，善法的出離、效益、{l3-3}明淨側。
209-1|比丘們！當我這樣住於不放逸、熱心、自我努力時，離欲尋生起，
209-2|我這麼了知它：
209-3|『我的這離欲尋已生起，
209-4|它既不導向自己的惱害，也不導向他人的惱害，也不導向兩者的惱害，是令慧增長者，無惱害的伴黨，涅槃的導向者。』
209-5|比丘們！如果隨尋思、隨伺察它一夜，由此因緣我不看見恐懼；
209-6|比丘們！如果隨尋思、隨伺察它一日，由此因緣我不看見恐懼；
209-7|比丘們！如果隨尋思、隨伺察它一日夜，由此因緣我不看見恐懼。
209-8|然而，當過於長久地隨尋思、隨伺察時，我的身體會疲倦；
209-9|當身體疲倦時，心會被弄亂；
209-10|當心被弄亂時，心是與定遠離的。
209-11|比丘們！我使內心{888-2}安頓、平息、統一、集中，
209-12|那是什麼原因呢？
209-13|『我的心不要被弄亂。』
210-1|比丘們！當我這樣住於不放逸、熱心、自我努力時，無惡意尋生起，……（中略）
210-2|無加害尋生起，
210-3|我這麼了知它：
210-4|『我的這無加害尋已生起，
210-5|它既不導向自己的惱害，也不導向他人的惱害，也不導向兩者的惱害，是令慧增長者，無惱害的伴黨，涅槃的導向者。』
210-6|比丘們！如果隨尋思、隨伺察它一夜，由此因緣我不看見恐懼；
210-7|比丘們！如果隨尋思、隨伺察它一日，由此因緣我不看見恐懼；
210-8|比丘們！如果隨尋思、隨伺察它一日夜，由此因緣我不看見恐懼，
210-9|然而，當過於長久地隨尋思、隨伺察時，我的身體會疲倦；
210-10|當身體疲倦時，心會被弄亂；
210-11|當心被弄亂時，心是與定遠離的。
210-12|比丘們！我使內心安頓、平息、統一、集中，
210-13|那是什麼原因呢？
210-14|『我的心不要被弄亂。』
210-15|比丘們！凡比丘多隨尋思、多隨伺察，像這樣成為心的傾向。
210-16|比丘們！如果比丘多隨尋思、多隨伺察離欲尋，他捨斷了欲尋，多作了離欲尋，則他的那個心傾向於離欲尋；
210-17|比丘們！如果比丘多隨尋思、多隨伺察無惡意尋，……（中略）
210-18|比丘們！如果比丘多隨尋思、多隨伺察無加害尋，他捨斷了加害尋，多作了無加害尋，則他的那個心傾向於無加害尋。
210-19|比丘們！猶如在夏季最後一個月，當所有的穀物收集入村落時，當到樹下或到屋外時，牧牛者會守護牛，{l4-6}他只應該作念：
210-20|『有這些牛。』
210-21|同樣的，比丘們！我只應該作念：
210-22|『{l5-4}有這些法。』
211-1|比丘們！我的活力已被激發而不退，{341-4}念已現前而不忘失，{330-8}身已寧靜而無激情，心已入定而一境，
211-2|比丘們！我從離欲、離不善法後，{66-5}進入後住於有尋、{175-2}有伺，{174-6}離而生喜、樂的初禪；
211-3|以尋與伺的平息，{256-2}自信，{255-2}一心，進入後住於無尋、無伺，定而生喜、樂的第二禪；
211-4|以喜的{77-2}褪去與住於平靜，有念、正知，以身體感受樂，進入後住於這{24-3}聖弟子宣說：『他是平靜、具念、{317-4}住於樂者』的第三禪；
211-5|以樂的捨斷與苦的捨斷，及以之前喜悅與憂的滅沒，進入後住於不苦不樂，{494-7}由平靜而念遍淨的第四禪。
212-1|當那個心是這樣入定的、遍淨的、淨化的、無穢的、離{288-4}隨雜染的、可塑的、{412-5}適合作業的、住立的、到達{917-2}不動時，我使心轉向許多前世住處回憶之智。
212-2|我回憶起許多前世住處，
212-3|即：一生、……（中略）
212-4|像這樣，我回憶起許多前世住處{500-9}有這樣的行相與境遇，
212-5|比丘們！這是在{214-2}初夜被我證得的第一明，
212-8|當住於不放逸、熱心、自我努力時，
212-6|{207-2}無明已被破壞，明已生起；
212-7|黑闇已被破壞，光明已生起。
