蛇譬喻經
234-1|{1-5}我聽到這樣：
234-2|{2-3}有一次，{12-2}世尊住在舍衛城祇樹林給孤獨園。
234-3|當時，以前是{l1-3}捕鷲者，名叫阿哩得的{31-2}比丘生起像這樣邪惡的{722-2}惡見：
234-4|「我了知依世尊教導的法，那些世尊所說的{l2-3}障礙法，當從事時，那些不足以成為障礙。」
234-5|眾多比丘聽聞：
234-6|「聽說以前是捕鷲者，名叫阿哩得的比丘生起像這樣邪惡的惡見：
234-7|『我了知依世尊教導的法，那些世尊所說的障礙法，當從事時，那些不足以成為障礙。』」
234-8|那時，那些比丘去見以前是捕鷲者的阿哩得比丘。
234-9|抵達後，對以前是捕鷲者的阿哩得比丘這麼說：
234-10|「是真的嗎？阿哩得{201-2}學友！你生起了這樣邪惡的惡見：
234-11|『我了知依世尊教導的法，那些世尊所說的障礙法，當從事時，那些不足以成為障礙。』」
234-12|「確實這樣，學友們！我了知依世尊教導的法，那些世尊所說的障礙法，當從事時，那些不足以成為障礙。」
234-13|那時，那些比丘想要使以前是捕鷲者的阿哩得比丘遠離這邪惡的邪見，而審問、質問、追究：
234-14|「阿哩得學友！不要這麼說，不要毀謗世尊，
234-15|毀謗世尊不好，世尊不會這麼說。
234-16|阿哩得學友！世尊以許多法門說障礙法是障礙的，當從事時，那些足以成為障礙，世尊說：
234-17|欲少{295-2}樂味而多苦、多{342-2}絕望，在這裡更多{293-2}過患；
234-18|世尊說：欲如骨骸……
234-19|世尊說：欲如肉塊……
234-20|世尊說：欲如草炬……
234-21|世尊說：欲如炭火坑……
234-22|世尊說：欲如夢……
234-23|世尊說：欲如借用物……
234-24|世尊說：欲如樹果……
234-25|世尊說：欲如屠宰場……
234-26|世尊說：欲如劍戟……
234-27|世尊說：欲如蛇頭而多苦、多絕望，在這裡有更多過患。」
234-28|當被那些比丘這樣審問、質問、追究時，以前是捕鷲者的阿哩得比丘仍剛毅地、取著地執著那邪惡的惡見，而說：
234-29|「確實這樣，學友們！我了知依世尊教導的法，那些世尊所說的障礙法，當從事時，那些不足以成為障礙。」
235-1|由於那些比丘不能使以前是捕鷲者的阿哩得比丘遠離這邪惡的惡見，那時，那些比丘去見世尊。
235-2|抵達後，向世尊{46-2}問訊，接著在一旁坐下。
235-3|在一旁坐好後，那些比丘對世尊這麼說：
235-4|「{45-2}大德！以前是捕鷲者，名叫阿哩得的比丘生起像這樣邪惡的惡見：
235-5|『我了知依世尊教導的法，那些世尊所說的障礙法，當從事時，那些不足以成為障礙。』
235-6|大德！我們聽聞：
235-7|『聽說以前是捕鷲者，名叫阿哩得的比丘生起像這樣邪惡的惡見：
