陷阱堆經
272-1|{1-5}我聽到這樣：
272-2|{2-3}有一次，{12-2}世尊住在舍衛城祇樹林給孤獨園。
272-3|那時，世尊在午前時穿好衣服後，取衣鉢，{87-4}為了托鉢進入舍衛城。
272-4|那時，眾多{31-2}比丘去見{200-2}尊者阿難。
272-5|抵達後，對尊者阿難這麼說：
272-6|「阿難{201-2}學友！我們所聽聞世尊面前的法說已經是很久以前的事了，
272-7|阿難學友！如果我們能得到世尊面前法說的聽聞，{44-4}那就好了！」
272-8|「那樣的話，尊者們！請你們去勒麼葛{17-3}婆羅門的草庵，
272-9|或許得以當面聽聞世尊的法說。」
272-10|「是的，學友！」那些比丘回答尊者阿難。
272-11|那時，世尊在舍衛城為了托鉢而行後，食畢，{512-6}從施食處返回，召喚尊者阿難：
272-12|「來！阿難！我們去東園鹿母講堂{128-6}作中午的休息。」
272-13|「是的，{45-2}大德！」尊者阿難回答世尊。
272-14|那時，世尊與尊者阿難一起去東園鹿母講堂作中午的休息。
272-15|那時，世尊在傍晚時，從{92-2}獨坐中出來，召喚尊者阿難：
272-16|「來！阿難！我們去東門屋洗澡。」
272-17|「是的，大德！」尊者阿難回答世尊。
273-1||那時，世尊與尊者阿難一起去東門屋洗澡。
273-2|在東門屋洗澡後起來，然後著單衣站著弄乾身體。
273-3|那時，尊者阿難對世尊這麼說：
273-4|「大德！這勒麼葛婆羅門的草庵在不遠處，
273-5|大德！勒麼葛婆羅門的草庵是愉快的；
273-6|大德！勒麼葛婆羅門的草庵是清淨的，
273-7|大德！請世尊{121-4}出自憐愍，去勒麼葛婆羅門的草庵，那就好了！」
273-8|世尊以沈默同意了。
273-9|那時，世尊去勒麼葛婆羅門的草庵。
273-10|當時，眾多比丘以法的談論在勒麼葛婆羅門的草庵中共坐。
273-11|那時，世尊站在外面的門屋等到談論完畢。
273-12|那時，世尊知道談論完畢後，故意咳嗽並敲擊門閂。
273-13|那些比丘為世尊開門。
273-14|那時，世尊進入勒麼葛婆羅門的草庵後，在設置的座位坐下。
273-15|坐好後，世尊召喚那些比丘：
273-16|「比丘們！現在，在這裡共坐談論的是什麼呢？
273-17|你們談論中被中斷的是什麼呢？」
273-18|「大德！我們法的談論就是關於世尊，這時，世尊抵達。」
273-19|「比丘們！{44-1}好！
273-20|比丘們！對由於信，從在家出家，{48-6}成為非家生活{41-3}善男子的你們來說，這是適當的：你們能以法的談論共坐。
273-21|比丘們！當你們共坐時，應該做兩件事：
273-22|法的談論，或{548-5}聖沈默狀態。
274-1|比丘們！有這二種遍求：
274-2|聖遍求與非聖遍求。
274-3|比丘們！什麼是非聖遍求呢？
274-4|比丘們！這裡，某人自己是{587-2}生法而遍求生法；自己是老法而遍求老法；自己是病法而遍求病法；自己是死法而遍求死法；自己是愁法而遍求愁法；自己是雜染法而遍求雜染法。
274-5|比丘們！什麼能被說是生法呢？
274-6|比丘們！妻與子是生法；奴與婢是生法；山羊與綿羊是生法；雞與豬是生法；大象、牛、馬、騾馬是生法；金與銀是生法，
274-7|比丘們！這些{198-2}依著是生法，
274-8|在這裡被繫結、迷戀、落入執著者，他自己是生法而遍求生法。
274-9|比丘們！什麼能被說是老法呢？
274-10|比丘們！妻與子是老法；奴與婢是老法；山羊與綿羊是老法；雞與豬是老法；大象、牛、馬、騾馬是老法；金與銀是老法，
274-11|比丘們！這些依著是老法，
274-12|在這裡被繫結、迷戀、落入執著者，他自己是老法而遍求老法。
274-13|比丘們！什麼能被說是病法呢？
274-14|比丘們！妻與子是病法；奴與婢是病法；山羊與綿羊是病法；雞與豬是病法；大象、牛、馬、騾馬是病法，
274-15|比丘們！這些依著是病法，
274-16|在這裡被繫結、迷戀、落入執著者，他自己是病法而遍求病法。
274-17|比丘們！什麼能被說是死法呢？
274-18|比丘們！妻與子是死法；奴與婢是死法；山羊與綿羊是死法；雞與豬是死法；大象、牛、馬、騾馬是死法；金與銀是死法，
274-19|比丘們！這些依著是死法，
274-20|在這裡被繫結、迷戀、落入執著者，他自己是死法而遍求死法。
274-21|比丘們！什麼能被說是愁法呢？
274-22|比丘們！妻與子是愁法；奴與婢是愁法；山羊與綿羊是愁法；雞與豬是愁法；大象、牛、馬、騾馬是愁法；金與銀是愁法，
274-23|比丘們！這些依著是愁法，
274-24|在這裡被繫結、迷戀、落入執著者，他自己是愁法而遍求愁法。
274-25|比丘們！什麼能被說是雜染法呢？
274-26|比丘們！妻與子是雜染法；奴與婢是雜染法；山羊與綿羊是雜染法；雞與豬是雜染法；大象、牛、馬、騾馬是雜染法；金與銀是雜染法，
274-27|比丘們！這些依著是雜染法，
274-28|在這裡被繫結、迷戀、落入執著者，他自己是雜染法而遍求雜染法。
274-29|+比丘們！這是非聖遍求。
275-1|比丘們！什麼是聖遍求呢？
275-2|比丘們！這裡，某人自己是生法，知道在生法中的{293-2}過患後，遍求不生的無上{192-4}離軛安穩涅槃；自己是老法，知道在老法中的過患後，遍求不老的無上離軛安穩涅槃；自己是病法，知道在病法中的過患後，遍求不病的無上離軛安穩涅槃；自己是死法，知道在死法中的過患後，遍求不死的無上離軛安穩涅槃；自己是愁法，知道在生愁中的過患後，遍求不愁的無上離軛安穩涅槃；自己是雜染法，知道在雜染法中的過患後，遍求無雜染的無上離軛安穩涅槃。
275-3|比丘們！這是聖遍求。
276-1|比丘們！當我{185-2}正覺以前，還是未{75-3}現正覺的{186-2}菩薩時，我自己也是生法而遍求生法；自己是老法而遍求老法；自己是病法而遍求病法；自己是死法而遍求死法；自己是愁法而遍求愁法；自己是雜染法而遍求雜染法。
276-2|比丘們！那時，我這麼想：
276-3|『為何我自己是生法而遍求生法；自己是老法而遍求老法；
276-4|自己是病法而遍求病法；
276-5|自己是死法而遍求死法；
276-6|自己是愁法而遍求愁法；
