象足跡譬喻小經
288-1|{1-5}我聽到這樣：
288-2|{2-3}有一次，{12-2}世尊住在舍衛城祇樹林給孤獨園。
288-3|當時，{980-4}若奴索尼婆羅門以全白的馬車中午從舍衛城出發。
288-4|若奴索尼{17-3}婆羅門看見{79-3}遊行者必羅低葛遠遠地走來。
288-5|看見後，對遊行者必羅低葛這麼說：
288-6|「那麼，{l5-4}哇差亞那{203-2}尊師中午從哪裡來呢？」
288-7|「{202-2}先生！我從{29-2}沙門{80-3}喬達摩面前來。」
288-8|「哇差亞那尊師！對沙門喬達摩{l1-3}聰明慧，你怎麼想？
288-9|我想，他是賢智者吧。」
288-10|「先生！我是誰啊，會知道沙門喬達摩的聰明慧？
288-11|確實有像沙門喬達摩聰明慧那樣的人才能知道。」
288-12|「哇差亞那尊師確實以崇高的讚賞稱讚沙門喬達摩。」
288-13|「先生！我是誰啊，能稱讚沙門喬達摩？
288-14|喬達摩尊師被人天最上的稱讚者稱讚。」
288-15|「看見什麼理由哇差亞那尊師對沙門喬達摩是這麼{340-4}極淨信者？」
288-16|「先生！猶如熟練的捕{131-2}龍象師如果進入龍象的森林，
288-17|他會在龍象的森林中看見大的象足跡，廣長且平闊，
288-18|他會來到結論：
288-19|『先生！這確實是頭大龍象。』
288-20|同樣的，先生！當我看到沙門喬達摩的四個足跡時，那時，我來到結論：
288-21|『世尊是{6-4}遍正覺者，法被世尊善說，世尊的弟子{375-2}僧團是{518-5}依善而行者。』
289-1|哪四個呢？
289-2|先生！這裡，我看到某些賢智、聰敏、{l4-3}知異論、犀利的{116-3}剎帝利，他們的確以慧的狀態漫遊破壞著{722-2}惡見。
289-3|當他們聽聞：
289-4|『先生！沙門喬達摩確實將進入某村落或城鎮。』
289-5|時，他們安排問題：
289-6|『這是我們去見沙門喬達摩將會問的問題，
289-7|如果被這樣問，他將這樣回答，我們將這樣論破；
289-8|如果被那樣問，他將那樣回答，我們將那樣論破。』
289-9|當他們聽聞：
289-10|『先生！沙門喬達摩確實已進入某村落或城鎮。』時，
289-11|他們去見沙門喬達摩，
289-12|沙門喬達摩以法說開示、勸導、鼓勵他們，{86-4}使之歡喜。
289-13|沙門喬達摩以法說開示、勸導、鼓勵他們，使之歡喜後，他們沒問沙門喬達摩問題，將從哪裡論破呢？
289-14|無論如何他們都變成沙門喬達摩的弟子。
289-15|先生！這是我看到沙門喬達摩的第一個足跡，那時，我來到結論：
289-16|『世尊是遍正覺者，法被世尊善說，世尊的弟子僧團是依善而行者。』
289-17|再者，先生！這裡，我看到某些賢智、聰敏、知異論、犀利的婆羅門……（中略）
289-18|{103-2}屋主……（中略）
289-19|沙門，他們的確以慧的狀態漫遊破壞著惡見。
289-20|當他們聽聞：
289-21|『先生！沙門喬達摩確實將進入某村落或城鎮。』時，
289-22|他們安排問題：『這是我們去見沙門喬達摩將會問的問題，
289-23|如果被這樣問，他將這樣回答，我們將這樣論破；
289-24|如果被那樣問，他將那樣回答，我們將那樣論破。』
289-25|當他們聽聞：『先生！沙門喬達摩確實已進入某村落或城鎮。』時，
289-26|他們去見沙門喬達摩，
289-27|沙門喬達摩以法說開示、勸導、鼓勵他們，使之歡喜。
289-28|沙門喬達摩以法說開示、勸導、鼓勵他們，使之歡喜後，他們沒問沙門喬達摩問題，將從哪裡論破呢？
289-29|無論如何他們都乞求沙門喬達摩從在家出家，{48-6}成為非家生活的機會，
289-30|沙門喬達摩令他們出家。
289-31|當在那裡出家後，他們住於隱退、不放逸、熱心、自我努力時，不久，
289-32|+以{242-2}證智自作證後，在當生中進入後住於那{41-3}善男子之所以從在家而正確地出家，
289-33|-成為非家生活的那個無上{381-2}梵行目標，
289-34|他們這麼說：
289-35|『先生！我們確實幾乎完蛋了，先生！我們確實幾乎滅亡了，
289-36|以前，當非沙門時，我們自稱為沙門，當非婆羅門時，我們自稱為婆羅門，當非{5-3}阿羅漢時，我們自稱為阿羅漢，
289-37|現在，我們是沙門，我們是婆羅門，我們是阿羅漢。』
289-38|先生！這是我看到沙門喬達摩的第四個足跡，那時，我來到結論：
289-39|『世尊是遍正覺者，法被世尊善說，世尊的弟子僧團是依善而行者。』
289-40|先生！當我看到沙門喬達摩的這四個足跡時，那時，我來到結論：
289-41|『世尊是遍正覺者，法被世尊善說，世尊的弟子僧團是依善而行者。』」
