象足跡譬喻大經
300-1|{1-5}我聽到這樣：
300-2|{2-3}有一次，{12-2}世尊住在舍衛城祇樹林給孤獨園。
300-3|在那裡，{200-2}尊者舍利弗召喚{31-2}比丘們：
300-4|「比丘{201-2}學友們！」
300-5|「學友！」那些比丘回答尊者舍利弗。
300-6|尊者舍利弗這麼說：
300-7|「學友們！猶如凡任何叢林生物的足跡種類，一切都包含在那些象的足跡中，象的足跡被說為其中之第一，即：以其之大。
300-8|同樣的，學友們！凡任何善法，一切都{l1-2}攝入那四聖諦中，
300-9|哪四個中呢？
300-10|苦聖諦中、苦{67-1}集聖諦中、苦{68-1}滅聖諦中、導向苦{69-3}滅道跡聖諦中。
301-1|學友們！什麼是苦聖諦？
301-2|生是苦，老也是苦，死也是苦，愁、悲、苦、憂、{342-2}絕望也是苦，所求不得也是苦，
301-3|總括之，{36-3}五取蘊是苦。
301-4|學友們！什麼是五取蘊？
301-5|即色取蘊、受取蘊、想取蘊、行取蘊、識取蘊。
301-6|學友們！什麼是色取蘊？
301-7|{646-2}四大與四大之所造色。
301-8|學友們！什麼是四大？
301-9|地界、水界、火界、風界。
302-1|學友們！什麼是地界？
302-2|地界會有自身內的，會有外部的。
302-3|學友們！什麼是自身內的地界？
302-4|凡自身內、各自的、粗硬的、凝固的、執取的，即：
302-5|頭髮、體毛、指甲、牙齒、皮膚、肌肉、筋腱、骨骼、骨髓、腎臟、心臟、肝臟、肋膜、脾臟、肺臟、腸子、腸間膜、胃、糞便，或凡任何其它自身內、各自的、粗硬的、凝固的、執取的，
302-6|學友們！這被稱為自身內的地界。
302-7|又，凡自身內的地界、外部的地界，都只是地界，
302-9|它應該以正確之慧被這樣如實看作：
302-8|『{32-5}這不是我的，{33-5}我不是這個，{34-7}這不是我的真我。』
302-10|以正確之慧這樣如實看它後，他在地界上{15-1}厭，他使心在地界上{558-2}離染。
302-11|學友們！有時，外部的水界發怒，那時，外部的地界消失。
302-12|+學友們！即使像這麼大的外部地界，
302-13|-無常性將被了知；{273-6}滅盡法的狀態將被了知；{155-6}消散法的狀態將被了知；{70-6}變易法的狀態將被了知，
302-14|何況這只被渴愛執取，存續一下子的身體呢？『我』、『我的』、『{496-2}我是』
302-15|是不會存在的。
302-16|學友們！如果其他人辱罵、誹謗、傷害、騷擾那位比丘，他這麼了知：
302-17|『我的這耳觸所生苦受已生起，
302-18|它是有緣的，非無緣的，
302-19|緣什麼呢？
302-20|{252-1}緣觸。』
302-21|他看見：『觸是無常的。』他看見：『受是無常的。』他看見：『想是無常的。』他看見：『行是無常的。』他看見：『識是無常的。』
302-22|{l7-6}就以界為所緣，他的心躍入、明淨、{424-2}住立、{257-2}勝解。
302-23|學友們！如果其他人以非令人想要、不可愛、不合意地對待那位比丘：
302-24|以拳觸、以土塊觸、以棍棒觸、以刀觸，
302-25|他這麼了知：
302-26|『這個身體有這樣的性質：拳觸、土塊觸、棍棒觸、刀觸來到身體上。
302-27|又，這鋸子譬喻說為世尊所說：
302-28|「比丘們！即使盜賊、調查員以兩邊都有木把的鋸子[將你]一個肢體、一個肢體地切開，在那裡會使心惹惱，那樣也非我的教導。」
302-29|但我的活力已被激發而不退，{341-4}念已現前而不忘失，{330-8}身已寧靜而無激情，心已入定而一境，
302-30|現在，寧願讓拳觸、土塊觸、棍棒觸、刀觸來到身體上，因為，這正是佛陀的教導被執行。』
302-31|學友們！當那位比丘這麼回憶佛、這麼回憶法、這麼回憶{375-2}僧團時，如果他{l2-7}善所依止的平靜不確立，
302-32|他因為那樣而驚怖、來到畏懼：
302-33|『這確實是我的損失，確實不是我的獲得；確實是我的{l8-3}惡獲得，確實不是我的好獲得：當我這麼回憶佛、這麼回憶法、這麼回憶僧團時，善所依止的平靜不確立。』
302-34|學友們！猶如媳婦看見公公後，驚怖、來到畏懼。
302-35|同樣的，學友們！當那位比丘這麼回憶佛、這麼回憶法、這麼回憶僧團時，如果他善所依止的平靜不確立，他因為那樣而驚怖、來到畏懼：
302-36|『這確實是我的損失，確實不是我的獲得；確實是我的惡獲得，確實不是我的好獲得：當我這麼回憶佛、這麼回憶法、這麼回憶僧團時，善依止的平靜不確立。』
302-37|當那位比丘這麼回憶佛、這麼回憶法、這麼回憶僧團時，如果他善依止的平靜確立，他因為那樣而是悅意的。
302-38|學友們！在這裡，那位比丘確實{l3-4}做了很多。
