心材譬喻大經
307-1|{1-5}我聽到這樣：
307-2|{2-3}有一次，在提婆達多離去不久時，{12-2}世尊住在王舍城{258-4}耆闍崛山。
307-3|在那裡，關於提婆達多之事，世尊召喚{31-2}比丘們：
307-4|「比丘們！這裡，某些善男子由於信，從在家出家，{48-6}成為非家生活[心想]：
307-5|『我已陷入生、老、死、愁、悲、苦、憂、{342-2}絕望，已陷入苦，已被苦征服，如果能了知得到這整個{83-2}苦蘊的結束就好了。』
307-6|當這樣出家時，他使利養、恭敬、名聲{l1-2}生起，
307-7|他以該利養、恭敬、名聲而成為悅意的、志向圓滿的；
307-8|他以該利養、恭敬、名聲而稱讚自己，輕蔑他人：
307-9|『我有利養、恭敬、名聲，這些其他比丘是不知名的無能者。』
307-10|他以該利養、恭敬、名聲而陶醉、變得放逸、來到放逸；當成為放逸的時，他住於苦。
307-11|比丘們！猶如男子欲求{356-2}心材，找尋心材，遍求心材，當走到有心材住立的大樹時，就越過心材，越過膚材，越過內皮，越過外皮後，切斷枝葉，然後拿起來離開，認為：『這是心材。』
307-12|有眼的男子看見這樣後會這麼說：
307-13|『這位尊師男子不了知心材，不了知膚材，不了知內皮，不了知外皮，不了知枝葉，
307-14|因為，像這樣，這位尊師男子欲求心材，找尋心材，遍求心材，當走到有心材住立的大樹時，就越過心材，越過膚材，越過內皮，越過外皮後，切斷枝葉，然後拿起來離開，認為：「這是心材。」
307-15|凡應該被心材作為核心的，那個目標他將沒經歷。』
307-16|同樣的，比丘們！這裡，某些善男子由於信，從在家出家，成為非家生活[心想]：
307-17|『我已陷入生、老、死、愁、悲、苦、憂、絕望，已陷入苦，已被苦征服，如果能了知得到這整個苦蘊的結束就好了。』
307-18|當這樣出家時，他使利養、恭敬、名聲生起，
307-19|他以該利養、恭敬、名聲而成為悅意的、志向圓滿的；
307-20|他以該利養、恭敬、名聲而稱讚自己，輕蔑他人：『我有利養、恭敬、名聲，這些其他比丘是不知名的無能者。』
307-21|他以該利養、恭敬、名聲而陶醉、變得放逸、來到放逸；當成為放逸的時，他住於苦。
307-22|比丘們！這位比丘被稱為取{381-2}梵行的枝葉，
307-23|以此到達終了。
308-1|比丘們！這裡，某些善男子由於信，從在家出家，成為非家生活[心想]：
308-2|『我已陷入生、老、死、愁、悲、苦、憂、絕望，已陷入苦，已被苦征服，如果能了知得到這整個苦蘊的結束就好了。』
308-3|當這樣出家時，他使利養、恭敬、名聲生起，
308-4|他不以該利養、恭敬、名聲而成為悅意的、志向圓滿的；
308-5|他不以該利養、恭敬、名聲而稱讚自己，輕蔑他人，
308-6|他不以該利養、恭敬、名聲而陶醉、變得放逸、來到放逸；
308-7|當成為不放逸的時，他到達戒具足，
308-8|他以該戒具足而成為悅意的、志向圓滿的；
308-9|他以該戒具足而稱讚自己，輕蔑他人：
308-10|『我是持戒者、{601-3}善法者，這些其他比丘是破戒者、惡法者。』
308-11|他以該戒具足而陶醉、變得放逸、來到放逸；當成為放逸的時，他住於苦。
308-12|比丘們！猶如男子欲求心材，找尋心材，遍求心材，當走到有心材住立的大樹時，就越過心材，越過膚材，越過內皮後，切斷外皮，然後拿起來離開，認為：『這是心材。』
308-13|有眼的男子看見這樣後會這麼說：
308-14|『這位尊師男子不了知心材，不了知膚材，不了知內皮，不了知外皮，不了知枝葉，
308-15|因為，像這樣，這位尊師男子欲求心材，找尋心材，遍求心材，當走到有心材住立的大樹時，就越過心材，越過膚材，越過內皮後，切斷外皮，然後拿起來離開，認為：「這是心材。」
308-16|凡應該被心材作為核心的，那個目標他將沒經歷。』
308-17|同樣的，比丘們！這裡，某些善男子由於信，從在家出家，成為非家生活[心想]：
308-18|『我已陷入生、老、死、愁、悲、苦、憂、絕望，已陷入苦，已被苦征服，如果能了知得到這整個苦蘊的結束就好了。』
