牛角大經
332-1|{1-5}我聽到這樣：
332-2|{2-3}有一次，{12-2}世尊住在牛角沙羅樹林園，與眾多有名的{135-2}上座弟子在一起：
332-3|{200-2}尊者舍利弗、尊者大目犍連、尊者大迦葉、尊者阿那律、尊者離婆多、尊者阿難，以及其他有名的上座弟子在一起。
332-4|那時，尊者大目犍連在傍晚時，從{92-2}獨坐中出來，去見尊者大迦葉。
332-5|抵達後，對尊者大迦葉這麼說：
332-6|「大迦葉{201-2}學友！讓我們為了法的聽聞去見尊者舍利弗。」
332-7|「是的，學友！」尊者大迦葉回答尊者大目犍連。
332-8|那時，尊者大目犍連、尊者大迦葉、尊者阿那律為了法的聽聞去見尊者舍利弗。
332-9|尊者阿難看見尊者大目犍連、尊者大迦葉、尊者阿那律為了法的聽聞去見尊者舍利弗。
332-10|看見後，去見尊者離婆多。
332-11|抵達後，對尊者離婆多這麼說：
332-12|「離婆多學友！那些{76-2}善人為了法的聽聞去見尊者舍利弗，離婆多學友！
332-13|讓我們[也]為了法的聽聞去見尊者舍利弗。」
332-14|「是的，學友！」尊者離婆多回答尊者阿難。
332-15|那時，尊者離婆多與尊者阿難為了法的聽聞去見尊者舍利弗。
333-1|那時，尊者舍利弗看見尊者離婆多與尊者阿難遠遠地走來。
333-2|看見後，對尊者阿難這麼說：
333-3|「來！尊者阿難！
333-4|{132-2}歡迎！世尊的侍者、世尊的近侍尊者阿難！
333-5|阿難學友！牛角沙羅樹林園是令人愉快的，夜晚有月光照耀，沙羅樹全都是盛開的，似乎散發天的芳香，
333-6|阿難學友！怎樣的{31-2}比丘{l1-3}能輝耀沙羅樹林園呢？」
333-7|「舍利弗學友！這裡，比丘是多聞者、所聽聞的憶持者、{780-7}所聽聞的蓄積者，
333-8|凡那些開頭是善、中間是善、完結是善；{81-4}意義正確、{82-4}辭句正確，
333-9|說明唯獨圓滿、{483-5}遍清淨梵行的法，像這樣的法被他多聞、憶持、{486-2}背誦、{484-5}以心隨觀察、{485-5}以見善通達，
333-10|他以圓滿、連貫的文句對四眾教導為了根絕{253-6}煩惱潛在趨勢的法。
333-11|舍利弗學友！這樣的比丘能輝耀沙羅樹林園。」
334-1|當這麼說時，尊者舍利弗對尊者離婆多這麼說：
334-2|「離婆多學友！尊者阿難{l2-6}如自己的辯才解答了，
334-3|現在，我們問尊者離婆多：
