薩遮迦小經
353-1|我聽到這樣：
353-2|{2-3}有一次，{12-2}世尊住在毘舍離大林{213-2}重閣講堂。
353-3|當時，辯論家、賢智的演說者、眾人公認有德行之尼乾陀的兒子薩遮迦居住在毘舍離，
353-4|他在毘舍離集會處說這樣的話：
353-5|「我不見那沙門或婆羅門，團體的領導者，群眾的老師，即使自稱{5-3}阿羅漢者、{6-3}遍正覺者，凡與我從事辯論者，不會震動、發抖、顫抖，不會從腋下流汗者，
353-6|-如果{l8-3}無意識的柱子也能與我從事辯論，它與我從事辯論也會震動、發抖、顫抖，會從腋下流汗，
353-7|何況說是人！」
353-8|那時，{200-2}尊者{l1-3}阿說示在午前時穿好衣服後，取衣鉢，{87-4}為了托鉢進入毘舍離。
353-9|當尼乾陀的兒子薩遮迦在毘舍離徒步散步、徘徊時，看見尊者阿說示遠遠地走來。
353-10|看見後，就去見尊者阿說示。
353-11|抵達後，與尊者阿說示相互歡迎。
353-12|歡迎與寒暄後，在一旁站立。
353-13|在一旁站好後，尼乾陀的兒子薩遮迦對尊者阿說示這麼說：
353-14|「阿說示{202-2}先生！{29-2}沙門{80-3}喬達摩如何教導弟子呢？沙門喬達摩的教誡又如何在弟子身上{l9-4}經常呈現呢？」
353-15|「{l2-5}阿其威色那！世尊這麼教導弟子，又，世尊的教誡在弟子身上這麼經常呈現：
353-16|『比丘們！色是無常的，受是無常的，想是無常的，行是無常的，識是無常的；
353-17|比丘們！色是無我，受是無我，想是無我，行是無我，識是無我；
353-18|{628-7}一切行是無常的，{23-6}一切法是無我。』
353-19|阿其威色那！世尊這麼教導弟子，又，世尊的教誡在弟子身上這麼經常呈現。」
353-20|「阿說示先生！凡我們聽到沙門喬達摩這麼說，實在聽到了難聽的，或許什麼時候我們能與那位喬達摩{203-2}尊師會面，或許能有些交談，或許因此我們要使之從那邪惡的{722-2}惡見遠離。」
354-1|而當時，有五百位{l3-2}離車族人以某些必須作的事而在{761-3}集會所集會。
354-2|那時，尼乾陀的兒子薩遮迦去見那些離車族人。
354-3|抵達後，對那些離車族人這麼說：
354-4|「離車族的諸位先生！請你們出來吧！離車族的諸位先生！請你們出來吧！今天，將有我與沙門喬達摩的交談，
354-5|如果沙門喬達摩對我這樣立論，就如被其中一位有名的弟子，名叫阿說示比丘對我立論那樣，猶如有力氣的男子抓住長毛公山羊的身毛後，能被他拉來、拉去、拉著轉，同樣的，沙門喬達摩將被我以辯論拉來、拉去、拉著轉，
354-6|猶如有力氣的釀酒人，投大酒篩籃入深水池，抓住一端後，能被他拉來、拉去、拉著轉，同樣的，沙門喬達摩將被我以辯論拉來、拉去、拉著轉，
354-7|猶如有力氣的濾酒人，抓住毛篩一端後，能被他篩除、篩落、打落，同樣的，沙門喬達摩將被我以辯論篩除、篩落、打落，
354-8|猶如六十歲的象，跳入深蓮花池後，{l4-8}玩名叫麻洗的遊戲，同樣的，我將與沙門喬達摩玩我想的麻洗遊戲。
354-9|離車族的諸位先生！請你們出來吧！離車族的諸位先生！請你們出來吧！今天，將有我與沙門喬達摩的互相對話談論。」
354-10|在那裡，一些離車族人這麼說：
354-11|「誰是能破尼乾陀的兒子薩遮迦之論的沙門喬達摩？然而，尼乾陀的兒子薩遮迦必將破沙門喬達摩之論。」
354-12|一些離車族人這麼說：
354-13|「誰是那能破世尊之論的尼乾陀的兒子薩遮迦？然而，世尊必將破尼乾陀的兒子薩遮迦之論。」
354-14|那時，尼乾陀的兒子薩遮迦被五百位離車族人跟隨，去大林重閣講堂。
355-1|當時，眾多比丘在露天處{150-2}經行。
355-2|那時，尼乾陀的兒子薩遮迦去見那些比丘。
355-3|抵達後，對那些比丘這麼說：
355-4|「先生！那位喬達摩尊師現在住在哪裡？
355-5|我們要見喬達摩尊師。」
355-6|「阿其威色那！世尊進入這大林後，坐在某棵樹下{128-6}作中午的休息。」
355-7|那時，尼乾陀的兒子薩遮迦與一大群離車族人一起進入大林後，去見世尊。
355-8|抵達後，與世尊相互歡迎。
355-9|歡迎與寒暄後，在一旁坐下。
355-10|那些離車族人一些向世尊問訊後，在一旁坐下；一些與世尊相互歡迎，歡迎與寒暄後，在一旁坐下；
355-11|一些向世尊合掌鞠躬後，在一旁坐下；一些在世尊面前告知姓名後，在一旁坐下；一些默默地在一旁坐下。
356-1|在一旁坐好後，尼乾陀的兒子薩遮迦對世尊這麼說：
