薩遮迦大經
364-1|{1-5}我聽到這樣：
364-2|{2-3}有一次，{12-2}世尊住在毘舍離大林{213-2}重閣講堂。
364-3|當時，世尊在午前時已穿好衣服，取衣鉢後，想要{87-4}為了托鉢進入毘舍離。
364-4|那時，尼乾陀的兒子薩遮迦徒步散步、徘徊，前來大林重閣講堂。
364-5|{200-2}尊者阿難看見尼乾陀的兒子薩遮迦遠遠地走來。
364-6|看見後，對世尊這麼說：
364-7|「{45-2}大德！這位辯論家、賢智的演說者、眾人公認有德行的尼乾陀的兒子薩遮迦來了，
364-8|大德！這個人想要誹謗{3-2}佛陀，想要誹謗法，想要誹謗{375-2}僧團，
364-9|大德！請世尊{121-4}出自憐愍稍坐片刻，{44-4}那就好了！」
364-10|世尊坐在設置好的座位上。
364-11|那時，尼乾陀的兒子薩遮迦去見世尊。
364-12|抵達後，與世尊相互歡迎。歡迎與寒暄後，在一旁坐下。
364-13|在一旁坐好後，尼乾陀的兒子薩遮迦對世尊這麼說：
365-1|「{80-3}喬達摩{202-2}先生！有一些沙門、婆羅門住於致力{l1-3}身修習之實踐，而非心修習，
365-2|喬達摩先生！他們接觸身的苦受。
365-3|喬達摩先生！從前，當[某人]被身的苦受接觸時，他成為腿麻痺，心臟裂開，熱血從口中湧出，到達發瘋、心散亂，
365-4|喬達摩先生！他的這個心是身的隨行者，因身之控制而轉，
365-5|那是什麼原因呢？
365-6|[因為]心的未被修習狀態。
365-7|又，喬達摩先生！有一些沙門、婆羅門住於致力心修習之實踐，而非身修習，
365-8|喬達摩先生！他們接觸心的苦受。
365-9|喬達摩先生！從前，當[某人]被心的苦受接觸時，他成為腿麻痺，心臟裂開，熱血從口中湧出，到達發瘋、心散亂，
365-10|喬達摩先生！他的這個身是心的隨行者，因心之控制而轉，
365-11|那是什麼原因呢？
365-12|[因為]身的未親自修習。
365-13|喬達摩先生！我這麼想：
365-14|『喬達摩先生的弟子們確實住於致力心修習之實踐，而非身修習。』」
366-1|「{l2-5}阿其威色那！但，你所聽到的身修習是什麼？」
366-2|「就是：難陀婆蹉、居色澀居者、末迦利瞿舍羅，
366-3|喬達摩先生！從這些裸行者、{758-4}脫離正行者、舔手者、{759-5}受邀不來者、{760-6}受邀不住立者，他們不受用帶來的、特別作的、招待的[食物]者，他不從瓶口取食，不從鍋口取食，不[從]門檻中間、棒杖中間、杵中間、正在吃的兩人、孕婦、授乳女、與男子生活者[取食]，不從撿拾收集的食物處、有狗現前處、蒼蠅群集處[取食]，不[吃]魚、肉，不飲榖酒、果酒、[發酵]酸粥，
366-4|他[托鉢]一家[吃]一口、二家二口、……（中略）
366-5|七家七口，
366-6|他[每天]以一小碟[食物]維生、二小碟維生、……（中略）
366-7|七小碟維生，
366-8|一天吃一餐、二天吃一餐、……（中略）
366-9|七天吃一餐，
366-10|像這樣，半個月[吃一餐]，他們住於致力於定期吃食物的實踐。」
366-11|「阿其威色那！但，他們就只靠那些生存嗎？」
366-12|「不，喬達摩先生！
366-13|喬達摩先生！有時候他們吃上妙的硬食，吃上妙的軟食、嘗上妙的美味，喝上妙的飲料，
366-14|他們使這身體的力氣{l3-2}拿起、增強，增肥。」
366-15|「阿其威色那！凡他們先前捨斷者，之後[又]積聚，這樣有身體的積聚與損減。
366-16|阿其威色那！但，你所聽到的心修習是什麼？」
366-17|當尼乾陀的兒子薩遮迦被世尊問到心修習時，他不能夠回答。
367-1|那時，世尊對尼乾陀的兒子薩遮迦這麼說：
367-2|「阿其威色那！先前你所說的身修習，那在聖者之律中非如法的身修習，
367-3|阿其威色那！你不知道身修習，將從哪裡知道心修習呢？
367-4|阿其威色那！更不用說如何是身未修習與心未修習；身已修習與心已修習。
