渴愛的滅盡小經
390-1|{1-5}我聽到這樣：
390-2|{2-3}有一次，{12-2}世尊住在舍衛城東園鹿母講堂。
390-3|那時，{263-3}天帝釋去見世尊。
390-4|抵達後，向世尊{46-2}問訊，接著在一旁站立。
390-5|在一旁站好後，天帝釋對世尊這麼說：
390-6|「大德！什麼情形，簡要地[說]，是{834-8}渴愛之滅盡而解脫、{275-4}究竟終結、究竟{192-4}離軛安穩、究竟{381-2}梵行、{819-4}究竟完結，是人與天中最上的{31-2}比丘呢？」
390-7|「天帝！這裡，比丘聽聞：
390-8|『一切法都不值得執著。』
390-9|天帝！當比丘聽聞：
390-10|『一切法都不值得執著。』時，
390-11|他{595-2}自證一切法；
390-12|證知一切法後，他{154-2}遍知一切法；
390-13|遍知一切法後，凡感受任何受：
390-14|或樂、或苦、或不苦不樂，他在那些受上住於{59-2}隨觀無常、住於隨觀{77-2}離貪、住於{703-3}隨觀滅、住於{211-4}隨觀斷念。
390-15|當他在那些受上住於隨觀無常、住於隨觀離貪、住於隨觀滅、住於隨觀斷念時，他在世間中不執取任何事物。
390-16|不執取則不{436-2}戰慄，無戰慄者{71-6}就自己證涅槃，
390-17|他了知：『{18-4}出生已盡，{19-5}梵行已完成，{20-6}應該作的已作，{21-12}不再有這樣[輪迴]的狀態了。』
390-18|天帝！這個情形，簡要地[說]，是渴愛之滅盡而解脫、究竟終結、究竟離軛安穩、究竟梵行、究竟完結，是人與天中最上的比丘。」
390-19|那時，天帝釋歡喜、{85-2}隨喜世尊所說後，向世尊問訊，然後{47-3}作右繞，接著就在那裡消失了。
391-1|當時，{200-2}尊者大目揵連坐在世尊不遠處。
391-2|那時，尊者大目揵連這麼想：
391-3|「那位{126-2}夜叉{53-2}現觀世尊所說後隨喜呢？或者不呢？
391-4|我應該知道那夜叉
391-5|是否現觀世尊所說後隨喜。」
391-6|那時，尊者大目揵連
391-7|猶如有力氣的男子能伸直彎曲的手臂，或彎曲伸直的手臂那樣
391-8|[快]地在東園鹿母講堂消失，出現在三十三天中。
391-9|當時，天帝釋在一蓮花園，具備、具有百重天之五樂自娛。
391-10|天帝釋看見尊者大目揵連正從遠處走來。
391-11|看見後，令那百重的天之五樂離開，然後去見尊者大目揵連。
391-12|抵達後，對尊者大目揵連這麼說：
391-13|「請來！親愛的目揵連先生！歡迎！親愛的目揵連先生！
391-14|親愛的目揵連先生！距上回來到這裡已很久了，
391-15|請坐！親愛的目揵連先生！這座位設置好了。」
391-16|尊者大目揵連在設置好的座位坐下，
391-17|天帝釋也取某個低矮坐具後，在一旁坐下。
391-18|在一旁坐好後，尊者大目揵連對天帝釋這麼說：
391-19|「憍尸迦！世尊怎麼簡要地說渴愛之滅盡而解脫呢？
391-20|如果我們能聽到關於那個談論，{44-4}那就好了。」
392-1|「親愛的目揵連先生！我們很忙，要作的事很多，
392-2|不僅要作自己的，還要作三十三天的，
392-3|而，親愛的目揵連先生！所有所善聞的、善把握的、善{114-2}作意的、善理解的，都很快地消失了。
392-4|親愛的目揵連先生！從前，諸天與阿修羅眾列陣戰鬥。親愛的目揵連先生！
