渴愛的滅盡大經
396-1|{1-5}我聽到這樣：
396-2|{2-3}有一次，{12-2}世尊住在舍衛城祇樹林給孤獨園。
396-3|當時，{l1-5}漁夫的兒子，名叫沙低的{31-2}比丘生起像這樣邪惡的{722-2}惡見：
396-4|「我了知依世尊教導的法，就是這[同一個]識流轉、輪迴，而{l2-4}非不同的。」
396-5|眾多比丘聽聞：
396-6|「聽說漁夫的兒子，名叫沙低的比丘生起像這樣邪惡的惡見：
396-7|『我了知依世尊教導的法，就是這[同一個]識流轉、輪迴，而非不同的。』」
396-8|那時，那些比丘去見漁夫的兒子沙低比丘。
396-9|抵達後，對漁夫的兒子沙低比丘這麼說：
396-10|「是真的嗎？沙低{201-2}學友！你生起了這樣邪惡的惡見：
396-11|『我了知依世尊教導的法，就是這[同一個]識流轉、輪迴，而非不同的。』」
396-12|「確實這樣，學友們！我了知依世尊教導的法，就是這[同一個]識流轉、輪迴，而非不同的。」
396-13|那時，那些比丘想要使漁夫的兒子沙低比丘遠離這邪惡的邪見，而審問、質問、追究：
396-14|「沙低學友！不要這麼說，不要毀謗世尊，毀謗世尊不好，世尊不會這麼說。
396-15|沙低學友！世尊以許多法門說識是{225-2}緣起的，除了經由{180-1}緣以外，沒有識的生成。」
396-16|當被那些比丘這樣審問、質問、追究時，漁夫的兒子沙低比丘仍剛毅地、取著地執著那邪惡的惡見，而說：
396-17|「確實這樣，學友們！我了知依世尊教導的法，就是這[同一個]識流轉、輪迴，而非不同的。」
397-1|由於那些比丘不能使漁夫的兒子沙低比丘遠離這邪惡的惡見，那時，那些比丘去見世尊。
397-2|抵達後，向世尊{46-2}問訊，接著在一旁坐下。
397-3|在一旁坐好後，那些比丘對世尊這麼說：
397-4|「{45-2}大德！漁夫的兒子，名叫沙低的比丘生起像這樣邪惡的惡見：
397-5|『我了知依世尊教導的法，就是這[同一個]識流轉、輪迴，而非不同的。』
397-6|大德！我們聽聞：『聽說漁夫的兒子，名叫沙低的比丘生起像這樣邪惡的惡見：
397-7|「我了知依世尊教導的法，就是這[同一個]識流轉、輪迴，而非不同的。」』
397-8|大德！那時，我們去見漁夫的兒子沙低比丘。
397-9|抵達後，對漁夫的兒子沙低比丘這麼說：
397-10|『是真的嗎？沙低學友！你生起了這樣邪惡的惡見：
397-11|「我了知依世尊教導的法，就是這[同一個]識流轉、輪迴，而非不同的。」』
397-12|大德！當這麼說時，漁夫的兒子沙低比丘對我們這麼說：
397-13|『確實這樣，學友們！我了知依世尊教導的法，就是這[同一個]識流轉、輪迴，而非不同的。』
397-14|大德！那時，我們想要使漁夫的兒子沙低比丘遠離這邪惡的邪見，而審問、質問、追究：
397-15|『沙低學友！不要這麼說，不要毀謗世尊，毀謗世尊不好，世尊不會這麼說。
397-16|沙低學友！世尊以許多法門說識是緣起的，除了經由緣以外，沒有識的生成。』
397-17|大德！當被我們這樣審問、質問、追究時，漁夫的兒子沙低比丘仍剛毅地、取著地執著那邪惡的惡見，而說：
397-18|『確實這樣，學友們！我了知依世尊教導的法，就是這[同一個]識流轉、輪迴，而非不同的。』
397-19|大德！由於我們不能使漁夫的兒子沙低比丘遠離這邪惡的惡見，我們[來]告訴世尊這件事。」
398-1|那時，世尊召喚某位比丘：
398-2|「來！比丘！你以我的名義召喚漁夫的兒子沙低比丘：
398-3|『沙低學友！{145-2}大師召喚你。』」
398-4|「是的，大德！」那位比丘回答世尊後，就去見漁夫的兒子沙低比丘。
398-5|抵達後，對漁夫的兒子沙低比丘這麼說：
398-6|「沙低學友！大師召喚你。」
398-7|「是的，學友！」漁夫的兒子沙低比丘回答那位比丘後，就去見世尊。
398-8|抵達後，向世尊問訊，接著在一旁坐下。
398-9|在一旁坐好後，世尊對漁夫的兒子沙低比丘這麼說：
398-10|「是真的嗎？沙低！你生起了這樣邪惡的惡見：
398-11|『我了知依世尊教導的法，就是這[同一個]識流轉、輪迴，而非不同的。』」
398-12|「確實這樣，大德！我了知依世尊教導的法，就是這[同一個]識流轉、輪迴，而非不同的。」
398-13|「沙低！那是哪個識呢？」
398-14|「大德！就是這講話的、能感受的、{l3-10}到處經驗善惡業果報的。」
398-15|「愚鈍男子！你從誰了知我這樣教導法？
398-16|愚鈍男子！我不是以許多法門說識是緣起的，除了經由緣以外，沒有識的生成嗎？
398-17|然而，愚鈍男子！你以自己的{841-4}錯誤把握對我們誹謗，並傷害自己、產出許多非福德，
398-18|因為，愚鈍男子！這對你將有長久的不利與苦。」
399-1|那時，世尊召喚比丘們：
399-2|「比丘們！你們怎麼想：這位漁夫的兒子沙低比丘是否在這法、律中{l17-3}已變熱了呢？」
399-3|「這怎麼可能呢？
399-4|不，大德！」
399-5|當這麼說時，漁夫的兒子沙低比丘變得沈默、羞愧、垂肩、低頭、鬱悶、無言以對而坐。
399-6|那時，世尊知道漁夫的兒子沙低比丘變得沈默、羞愧、垂肩、低頭、鬱悶、無言以對後，對漁夫的兒子沙低比丘這麼說： 
399-7|「愚鈍男子！你將了知自己這邪惡的邪見，
399-8|這裡，我將質問比丘們。」
