馬城小經
435-1|{1-5}我聽到這樣：
435-2|{2-3}有一次，{12-2}世尊住在鴦伽，一個名叫馬城的鴦伽市鎮。
435-3|在那裡，世尊召喚{31-2}比丘們：
435-4|「比丘們！」
435-5|「{480-2}尊師！」那些比丘回答世尊。
435-6|世尊這麼說：
435-7|「比丘們！人們稱呼你們『{29-2}沙門、沙門』，
435-8|而，當你們被問：『你們是誰？』時，你們回答：『我們是沙門。』
435-9|比丘們！你們這麼被稱呼，這麼自稱，
435-13|你們應該這麼學：
435-10|『我們將實行所有{l1-6}沙門適當道跡，
435-11|這樣，我們的這個稱呼將是真實，我們的自稱將是事實，
435-12|而且，我們受用衣服、{196-2}施食、住處、病人的需要物、醫藥必需品，那些在我們身上做這些的行為者必將有大果、{113-3}大效益，我們這出家必將是{334-5}功不唐捐的、有成果的、有果實的。』
436-1|比丘們！怎樣不是沙門適當道跡的行者呢？
436-2|比丘們！凡任何比丘是{435-3}貪婪者未捨斷貪婪、有瞋害心者未捨斷惡意、憤怒者未捨斷憤怒、怨恨者未捨斷怨恨、{999-2}藏惡者未捨斷藏惡、專橫者未捨斷專橫、嫉妒者未捨斷嫉妒、慳吝者未捨斷慳吝、狡猾者未捨斷狡猾、偽詐者未捨斷偽詐、惡欲求者未捨斷惡欲求、邪見者未捨斷邪見，
436-3|比丘們！對這些沙門的垢穢、沙門的過失、沙門的渣滓、墮{109-2}苦界處、能感受{110-2}惡趣未捨斷者，我說：『他不是沙門適當道跡的行者。』
436-4|比丘們！猶如名叫麼大若的武器，兩邊磨得銳利，
436-5|被{270-2}大衣充分覆蓋、包捲，
436-6|比丘們！我說那位比丘的出家就像那樣。
437-1|比丘們！我不說{328-4}沙門身分是只經由穿著大衣者的大衣穿著，
437-2|比丘們！我不說沙門身分是只經由裸行者的裸行，
437-3|比丘們！我不說沙門身分是只經由塵垢者的塵垢，
437-4|比丘們！我不說沙門身分是只經由水浴者的水浴，
437-5|比丘們！我不說沙門身分是只經由住樹下者的住樹下，
437-6|比丘們！我不說沙門身分是只經由住{385-2}露地者的住露地，
437-7|比丘們！我不說沙門身分是只經由常站立者的常站立，
437-8|比丘們！我不說沙門身分是只經由定期受食者的定期受食，
437-9|比丘們！我不說沙門身分是只經由誦咒者的誦咒，
437-10|比丘們！我不說沙門身分是只經由結髮者的結髮。
437-11|比丘們！如果只經由穿著大衣，穿著大衣的貪婪者能捨斷貪婪、有瞋害心者能捨斷惡意、憤怒者能捨斷憤怒、怨恨者能捨斷怨恨、藏惡者能捨斷藏惡、專橫者能捨斷專橫、嫉妒者能捨斷嫉妒、慳吝者能捨斷慳吝、狡猾者能捨斷狡猾、偽詐者能捨斷偽詐、惡欲求者能捨斷惡欲求、邪見者能捨斷邪見，以此，他的朋友、同僚、親族、親屬在他一出生時就會為他作大衣，就會勸導他成為穿著大衣者：
