威樂若經
444-1|{1-5}我聽到這樣：
444-2|{2-3}有一次，{12-2}世尊住在舍衛城祇樹林給孤獨園。
444-3|當時，威樂若的婆羅門{103-2}屋主們，以某些必須作的事居住在舍衛城。
444-4|威樂若的婆羅門屋主們聽聞：
444-5|「{202-2}先生！釋迦人之子、從釋迦族出家的{29-2}沙門{80-3}喬達摩住在舍衛城祇樹林給孤獨園。
444-6|又，那位喬達摩{203-2}尊師有這樣的好名聲被傳播著：
444-7|『像這樣，那位世尊是{5-3}阿羅漢、{6-4}遍正覺者、{7-6}明與行具足者、{8-2}善逝、{9-4}世間知者、{10-12}應該被調御人的無上調御者、{11-4}人天之師、{3-2}佛陀、世尊。』
444-8|他以{242-2}證智自作證後，為這包括天、魔、梵的世界；包括沙門、婆羅門的世代；包括諸天、人宣說，
444-9|他教導開頭是善、中間是善、完結是善；{81-4}意義正確、{82-4}辭句正確的法，
444-10|他說明唯獨圓滿、{483-6}遍清淨的梵行，
444-11|見到像那樣的阿羅漢，{44-4}那就好了！」
444-12|那時，威樂若的婆羅門屋主們去見世尊。
444-13|抵達後，一些向世尊{46-2}問訊，接著在一旁坐下；
444-14|一些與世尊互相歡迎，歡迎與寒暄後，在一旁坐下；
444-15|一些向世尊{377-2}合掌鞠躬後，在一旁坐下；
444-16|一些在世尊面前報出姓名後，在一旁坐下；
444-17|一些默默地在一旁坐下。
444-18|在一旁坐好後，威樂若的婆羅門屋主們對世尊這麼說：
444-19|「喬達摩先生！什麼因、什麼緣，這裡，一些眾生以身體的崩解，死後往生到{109-2}苦界、{110-2}惡趣、{111-2}下界、地獄？
444-20|又，喬達摩先生！什麼因、什麼緣因而這裡一些眾生以身體的崩解，死後往生到{112-2}善趣、天界？」
444-21|「屋主們！以非法行為、以不正行為之因，這樣，這裡，一些眾生以身體的崩解，死後往生到苦界、惡趣、下界、地獄；
444-22|屋主們！以合法行為、以正確行為之因，這樣，這裡，一些眾生以身體的崩解，死後往生到善趣、天界。」
444-23|「{45-2}大德！我們對喬達摩尊師這無詳細義理解說的簡要所說，不了知詳細的義理，如果喬達摩尊師能教導我們這樣的法，
444-24|這樣，我們對喬達摩尊師這無詳細義理解說的簡要所說，能了知詳細的義理，那就好了！」
444-25|「那樣的話，屋主們！你們要聽！你們要{43-4}好好作意！我要說了。」
444-26|「是的，先生！」威樂若的婆羅門屋主們回答世尊。
444-27|世尊這麼說：
445-1|「屋主們！有三種身體的非法行為者、不正行為者，有四種語言的非法行為者、不正行為者，有三種意念的非法行為者、不正行為者。
445-2|屋主們！怎樣有三種身體的非法行為者、不正行為者呢？
445-3|屋主們！這裡，某人是殺生者、
445-4|兇暴者、血手者、執意殺害者、對{470-4}活的生物不同情者。
445-5|又，他是{104-5}未給予而取者：
445-6|他[到村落或到{142-2}林野，]未給予而拿走那些他人的其它財產與資具
445-7|而被稱為偷盜。
445-8|又，他是{105-2}邪淫者：
