法的受持大經
473-1|{1-5}我聽到這樣：
473-2|{2-3}有一次，{12-2}世尊住在舍衛城祇樹林給孤獨園。
473-3|在那裡，世尊召喚{31-2}比丘們：
473-4|「比丘們！」
473-5|「{480-2}尊師！」那些比丘回答世尊。
473-6|世尊這麼說：
473-7|「比丘們！大部分眾生有這樣的欲念、這樣的意欲、這樣的欲求：
473-8|『啊！讓令人不滿意的、不可愛的、不合意的法衰退，讓令人想要的、可愛的、合意的法增長。』
473-9|比丘們！[但，]對那些有這樣欲念、這樣意欲、這樣欲求的眾生，令人不滿意的、不可愛的、不合意的法增長，令人想要的、可愛的、合意的法衰退。
473-10|比丘們！在那裡，你們認為是什麼原因呢？」
473-11|「大德！我們的法以世尊為根本，{56-6}以世尊為導引，以世尊為依歸，
473-12|大德！如果世尊能說明這所說的義理，那就好了！
473-13|聽聞世尊的[教說]後，比丘們將會憶持的。」
473-14|「那樣的話，比丘們！你們要聽！你們{43-5}要好好作意！我要說了。」
473-15|「是的，{45-2}大德！」那些比丘回答世尊。
473-16|世尊這麼說：
474-1|比丘們！這裡，{74-8}未受教導的一般人是不曾見過聖者的，不熟練聖者法的，未受聖者法訓練的；是不曾見過善人的，不熟練{76-3}善人法的，未受善人法訓練的，不知道{823-5}應該實行的法；不知道不應該實行的法，不知道{l3-6}應該服侍的法；不知道不應該服侍的法。
474-2|當不知道應該實行的法、不知道不應該實行的法；不知道應該服侍的法、不知道不應該服侍的法時，他實行不應該實行的法，不實行應該實行的法；服侍不應該服侍的法，不服侍應該服侍的法。
474-3|當實行不應該實行的法，不實行應該實行的法；服侍不應該服侍的法，不服侍應該服侍的法時，令人不滿意的、不可愛的、不合意的法增長，令人想要的、可愛的、合意的法衰退，
474-4|那是什麼原因呢？
474-5|比丘們！因為，對無智者來說，那是像這樣。
474-6|比丘們！這裡，{24-8}已受教導的聖弟子是見過聖者的，熟練聖者法的，善受聖者法訓練的；是見過善人的，熟練善人法的，善受善人法訓練的，知道應該實行的法；知道不應該實行的法，知道應該服侍的法；知道不應該服侍的法。
474-7|當知道應該實行的法、知道不應該實行的法；知道應該服侍的法、知道不應該服侍的法時，他實行應該實行的法，不實行不應該實行的法；服侍應該服侍的法，不服侍不應該服侍的法。
474-8|當實行應該實行的法，不實行不應該實行的法；服侍應該服侍的法，不服侍不應該服侍的法時，令人不滿意的、不可愛的、不合意的法衰退，令人想要的、可愛的、合意的法增長，
474-9|那是什麼原因呢？比丘們！
474-10|因為，對智者來說，那是像這樣。
475-1|「比丘們！有這四種{l1-4}法的受持，
475-2|哪四種呢？
