梵天的邀請經
501-1|{1-5}我聽到這樣：
501-2|{2-3}有一次，{12-2}世尊住在舍衛城祇樹林給孤獨園。
501-3|在那裡，世尊召喚比丘們：
501-4|「比丘們！」
501-5|「{480-2}尊師！」那些比丘回答世尊。
501-6|世尊這麼說：
501-7|「比丘們！有一次，我住在[名叫]善高貴[地方]的幸運林，國王的沙羅樹下。
501-8|比丘們！當時，巴迦梵天有這樣邪惡的{722-2}惡見生起：
501-9|『這是常的，這是堅固的，這是永恆的，這是全部的，這是不衰變法；確實，這是不被生、不老、不死、不去世、不再生[之處]，又，{l1-11}沒有其他從這裡超越出離者。』
501-10|比丘們！那時，我以心思量巴迦梵天心中的深思後，
501-11|猶如有力氣的男子能伸直彎曲的手臂，或彎曲伸直的手臂那樣
501-12|[快]地在[名叫]善高貴[地方]的幸運林國王的沙羅樹下消失，出現在那梵天世界中。
501-13|巴迦梵天看見我遠遠地走來。
501-14|看見後對我這麼說：
501-15|『{204-5}親愛的先生！來！親愛的先生！歡迎你！
501-16|親愛的先生！你離上次來這裡已很久了，
501-17|親愛的先生！確實，這是常的，這是堅固的，這是永恆的，這是全部的，這是不衰變法；確實，這是不被生、不老、不死、不去世、不再生[之處]，
501-18|又，沒有其它從這裡超越出離者。』
501-19|比丘們！當這麼說時，我對巴迦梵天這麼說：
501-20|『唉！先生！巴迦梵天{645-5}進入了無明，
501-21|唉！先生！巴迦梵天進入了無明，
501-22|確實是因為他將無常的說成常的，不堅固的說成堅固的，非永恆的說成永恆的，非全部的說成全部的，衰變法說成不衰變法，
501-23|而且，將被生、老、死、去世、再生之處那樣說：
501-24|「確實，這是不被生、不老、不死、不去世、不再生[之處]。」
501-25|又，將存在著其它超越出離者說成：「沒有其它超越出離者。」』
502-1|那時，魔{49-2}波旬佔有某位梵眾天後，對我這麼說：
502-2|『比丘！比丘！{l5-6}不要蔑視這位，不要蔑視這位，比丘！因為這位梵天是大梵天、征服者、不被征服者、{461-3}全見者、{462-3}自在者、{413-3}主宰者、製造者、化作者、{860-5}最高創造者、操縱者、已生者與未來生者之父。
502-3|比丘！在你存在之前，世間有{29-2}沙門、{17-3}婆羅門是斥責地者、厭惡地者，斥責水者、厭惡水者，斥責火者、厭惡火者，斥責風者、厭惡風者，斥責已生者、厭惡已生者，斥責天神者、厭惡天神者，斥責生主神者、厭惡生主神者，斥責梵天者、厭惡梵天者，
502-4|他們以身體的崩解，以生命斷絕而被住立{l6-5}在下劣身中。
502-5|而，比丘！在你存在之前，世間有沙門、婆羅門是讚賞地者、歡喜地者，讚賞水者、歡喜水者，讚賞火者、歡喜火者，讚賞風者、歡喜風者，讚賞已生者、歡喜已生者，讚賞天神者、歡喜天神者，讚賞生主神者、歡喜生主神者，讚賞梵天者、歡喜梵天者，
502-6|他們以身體的崩解，以生命斷絕而被住立在勝妙身中。
502-7|比丘！我對你這麼說：
502-8|「來吧！你，親愛的先生！你要只做那位梵天說的，你不要逾越梵天的言語。」
502-9|比丘！如果你逾越梵天的言語，猶如男子以棍棒抵擋到來的吉運，又，比丘！猶如男子掉到地獄的坑崖時，手腳會失去地，比丘！這樣，對你來說，{l7-5}這將會具足。
502-10|來吧！你，親愛的先生！你要只做那位梵天說的，你不要逾越梵天的言語，
502-11|比丘！你不見梵天眾已聚集嗎？』
502-12|比丘們！像這樣，魔波旬指引我[見]梵天眾。
502-13|當這麼說時，比丘們！我對魔波旬這麼說：
502-14|『波旬！我知道你，
502-15|你不要認為：
502-16|「他不知道我。」
502-17|你是魔波旬。
502-18|波旬！那梵天、那些梵天眾、梵眾天全都落入你的手中，全都落入你的影響力中，
502-19|波旬！你這麼想：
502-20|「這一位也會落入我的手中，這一位也會落入我的影響力中。」
502-21|但，波旬！我不落入你的手中，不落入你的影響力中。』
503-1|當這麼說時，比丘們！巴迦梵天對我這麼說：
503-2|『親愛的先生！我說：「常就一直是常。」我說：「堅固就一直是堅固。」我說：「永恆就一直是永恆。」我說：「全部就一直是全部」我說：「不衰變法就一直是不變法。」而且，我說：「不被生、不老、不死、不去世、不再生之處，
503-3|這裡即是不被生、不老、不死、不去世、不再生之處。」
503-4|我說：「又，沒有其他從這裡超越出離者，即沒有其他從這裡超越出離者。」
503-5|比丘！在你存在之前，世間有沙門、婆羅門，他們的苦行是你壽命量的全部，
503-6|他們應該知道：
503-7|「有其他從這裡超越出離者就有其他從這裡超越出離者，沒有其他從這裡超越出離者就沒有其他從這裡超越出離者。」
503-8|比丘！我對你這麼說：
503-9|「你將看不到其他超越出離者，你將只有疲勞與惱害的{876-1}分。
503-10|比丘！如果你固持地，你將成為住在我宅院的近住者，隨欲於所作者、{l8-4}能拒斥者；
503-11|如果你固持水，
503-12|……火
503-13|……風
503-14|……已生者
503-15|……天神們
503-16|……生主神
503-17|……如果你固持梵天，你將成為住在我宅院的近住者，隨欲於所作者、能拒斥者。」』
503-18|『梵天！我也知道這樣：
503-19|「如果我固持地，我將成為住在你宅院的近住者，隨欲於所作者、能拒斥者；
503-20|如果我固持水，
503-21|……火
503-22|……風
503-23|……已生者
503-24|……天神們
503-25|……生主神……
503-26|如果我固持梵天，我將成為住在你宅院的近住者，隨欲於所作者、能拒斥者。」但，梵天！我了知你[死後]的趣處與光輝：
503-27|「巴迦梵天有這麼大神通力，巴迦梵天有這麼大威力，巴迦梵天有這麼大權勢。」』
503-28|『親愛的先生！你又像怎樣地了知我[死後]的趣處與光輝：
503-29|「巴迦梵天有這麼大神通力，巴迦梵天有這麼大威力，巴迦梵天有這麼大權勢。」呢？』
503-30|『所有日月運行之所及，光亮照耀四方，
503-31|大約一千個那樣的世界，在那裡都存在你的影響力。
503-32|你知道勝劣，以及貪與離貪者，
