0-1|耿達勒葛經
1-1|{1-5}我聽到這樣：
1-2|{2-3}有一次，{12-2}世尊與大{31-2}比丘{375-2}僧團共住在瞻波城伽伽羅蓮花池邊。
1-3|那時，騎象者之子貝色與{79-3}遊行者耿達勒葛去見世尊。
1-4|抵達後，騎象者之子貝色向世尊{46-2}問訊，接著在一旁坐下。
1-5|遊行者耿達勒葛與世尊互相歡迎。
1-6|歡迎與寒暄後，在一旁站立。
1-7|在一旁站好後，遊行者耿達勒葛觀察變得沈默的比丘僧團後，對世尊這麼說：
1-8|「不可思議啊，{80-3}喬達摩{202-2}先生！{206-4}未曾有啊，喬達摩先生！這比丘僧團被喬達摩先生多麼正確地帶領！
1-9|喬達摩先生！凡那些存在於過去世的世尊、{5-3}阿羅漢、{6-4}遍正覺者們，他們就像這樣卓越地正確帶領比丘僧團，
1-10|猶如現在僧團被喬達摩先生正確地帶領；
1-11|凡那些存在於未來世的世尊、阿羅漢、遍正覺者們，他們將就像這樣卓越地正確帶領比丘僧團，
1-12|猶如現在僧團被喬達摩先生正確地帶領。」
2-1|「正是這樣，耿達勒葛！正是這樣，耿達勒葛！
2-2|凡那些存在於過去世的世尊、阿羅漢、遍正覺者們，他們就像這樣卓越地正確帶領比丘僧團，
2-3|猶如現在僧團被我正確地帶領；
2-4|凡那些存在於未來世的世尊、阿羅漢、遍正覺者們，他們將就像這樣卓越地正確帶領比丘僧團，
2-5|猶如現在僧團被我正確地帶領。
2-6|耿達勒葛！在這僧團中有{188-2}煩惱已盡、修行已成、{20-6}應該作的已作、負擔已卸、{189-8}自己的利益已達成、{190-7}有之結已被滅盡、以{191-3}究竟智解脫的阿羅漢比丘們。
2-7|耿達勒葛！在這僧團中有常有戒的、{l1-4}常正住的、明智的、
2-8|明智生活的{193-2}有學比丘們，他們住於在{286-3}四念住上心善建立，
2-9|哪四個呢？耿達勒葛！這裡，比丘住於{176-6}在身上隨觀身，熱心、正知、有念，能調伏對於世間的貪婪、憂；
2-10|住於在受上隨觀受，熱心、正知、有念，能調伏對於世間的貪婪、憂；
2-11|住於在心上隨觀心，熱心、正知、有念，能調伏對於世間的貪婪、憂；
2-13|住於在法上隨觀法，熱心、正知、有念，能調伏對於世間的貪婪、憂。」
3-1|當這麼說時，騎象者之子貝色對世尊這麼說：
3-2|「不可思議啊，{45-2}大德！未曾有啊，大德！
3-3|大德！為了眾生的清淨、為了愁與悲的超越、為了苦與憂的滅沒、為了方法的獲得、為了涅槃的作證，這四念住被世尊多麼善{143-2}安立，
3-4|大德！我們{277-5}白衣在家人也常常住於在這四念住上心善建立，
3-5|大德！我們住於在身上隨觀身，熱心、正知、有念，能調伏對於世間的貪婪、憂；
3-6|住於在受上隨觀受，熱心、正知、有念，能調伏對於世間的貪婪、憂；
3-7|住於在心上隨觀心，熱心、正知、有念，能調伏對於世間的貪婪、憂；
